Semana,CNPJ_Fundo,Gestor_Apelido,Captacao,Resgate,PL_Medio,DataBase
2025-07-28,18719154000101,"Porto Asset",48865077.1,31804847.96,7788989453.36,2025-08-01
2025-07-28,18814287000159,"Galapagos",0,0,670671445.52,2025-08-01
2025-07-28,18814964000139,"XPG",1632000,12231000,1809579385.2,2025-08-01
2025-07-28,18816175000137,"Rafter",600000,1132671.37,194946728.84,2025-08-01
2025-07-28,18990334000115,"JGP",566000,198000,1026511206.27,2025-08-01
2025-07-28,19038997000105,"Finacap",0,0,55595098.52,2025-08-01
2025-07-28,19366021000153,"MAG",0,0,103383062.85,2025-08-01
2025-07-28,19390898000180,"Safra Asset",261281.54,5656357.33,9221833969.9,2025-08-01
2025-07-28,19413568000162,"Prada",0,0,49287773.61,2025-08-01
2025-07-28,19436722000111,"XPG",0,0,113403920.77,2025-08-01
2025-07-28,19436808000144,"Safra Asset",0,0,189169844.08,2025-08-01
2025-07-28,19531929000175,"BRZ",0,0,136056496.6,2025-08-01
2025-07-28,19550100000110,"SAM",200,1400,233667033.08,2025-08-01
2025-07-28,19675080000103,"UBS",0,0,16544101.3,2025-08-01
2025-07-28,19718324000198,"MAG",0,0,160939448,2025-08-01
2025-07-28,19719719000105,"JGP",0,0,182571961.31,2025-08-01
2025-07-28,19719727000151,"Icatu",500,9151.2,238224587.85,2025-08-01
2025-07-28,19770499000144,"Exploritas",3500,0,61078514.31,2025-08-01
2025-07-28,19782311000188,"AZ Quest",6863776.72,11153794.23,4390940490.21,2025-08-01
2025-07-28,19831152000164,"Franklin Templeton",0,0,97013350,2025-08-01
2025-07-28,19941689000187,"IAM",0,0,33104583.92,2025-08-01
2025-07-28,19941929000143,"BNP",0,0,411312160.33,2025-08-01
2025-07-28,19959517000130,"Sulamérica",2874047.74,10194702.68,1862455318.85,2025-08-01
2025-07-28,20146318000192,"Capitânia",275000,820000,501905862.24,2025-08-01
2025-07-28,20155921000130,"Franklin Templeton",0,0,704289048.25,2025-08-01
2025-07-28,20231879000190,"Rafter",0,0,52755315.5,2025-08-01
2025-07-28,20468262000192,"Franklin Templeton",0,0,190665493.09,2025-08-01
2025-07-28,20468779000181,"Impacto",0,0,14765650.53,2025-08-01
2025-07-28,20519416000128,"MAG",0,0,267349916.1,2025-08-01
2025-07-28,20519417000172,"AZ Quest",0,0,89874316.48,2025-08-01
2025-07-28,20833920000106,"JGP",269549.83,442885.68,1075654064.46,2025-08-01
2025-07-28,20833938000108,"Icatu",301000,100000,995178784.38,2025-08-01
2025-07-28,20833940000179,"MAG",0,0,87363289.5,2025-08-01
2025-07-28,20879578000177,"Inter",3046606.28,4917277.45,1402423843.19,2025-08-01
2025-07-28,20887247000189,"Plural",0,0,678953763.83,2025-08-01
2025-07-28,20889471000100,"Sulamérica",116793.35,252104.16,452335113.7,2025-08-01
2025-07-28,20889498000100,"Sulamérica",0,0,19929418.75,2025-08-01
2025-07-28,21015780000113,"Rafter",0,0,52472498.49,2025-08-01
2025-07-28,21040600000153,"BTG WM",400000,732453.7,1006780580.19,2025-08-01
2025-07-28,21082099000198,"Franklin Templeton",0,0,256750983.17,2025-08-01
