CNPJ,Nome,Gestor,Segmento,MesBase,PL_Carteira,Disponibilidades,TitulosPublicos,Compromissadas,ParcelaAberta,ParcelaConfid,CotasNaoIdentificadas,CaixaDireto,CaixaIndiretoConfirmado,CaixaIndiretoCandidato,CaixaPotencialTotal,PctPL,ClasseFundoCaixa,PLDiario,DataPLDiario,CaixaEstimadoAtual,FluxoLiquidoPosterior,Cobertura,NivelConfianca,Feeder,CompradorDireto,NoConsolidado,CaixaConsolidado,Justificativa
"61140498000182","BB ARTEMIS INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIM","BB Asset","12431",202605,45762885.49,11071.57,0,240066.93,251138.5,0,0,251138.5,0,0,251138.5,0.0055,"nao classificado",65887826.7,2026-07-09,361580.56,19418439.35,1,alto,nao,sim,sim,251138.5,""
"59817562000175","BB AVANTI INFRA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA RESP LIM","BB Asset","12431",202605,32671641.46,11471.22,0,231175.56,242646.78,0,0,242646.78,0,0,242646.78,0.0074,"nao classificado",36759494.73,2026-07-09,273006.58,3706230.61,1,alto,nao,sim,sim,242646.78,""
"54996960000182","G5 BALTIMORE FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CREDITO PRIVADO","G5","12431",202605,14549280.18,0,0,239296,0,239296,2962686,239296,0,0,239296,0.0164,"nao classificado",14671155.77,2026-07-09,241300.52,-46.09,1,medio,nao,sim,sim,239296,"cotas confidenciais nao identificadas: R$ 2.962.686 (nao viram caixa)"
"57713250000196","BB YARA INFRA RENDA FIXA FUNDO INCENTIVADO DE  INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIM","BB Asset","12431",202605,32961226.66,13860.95,0,218332.48,232193.43,0,0,232193.43,0,0,232193.43,0.007,"nao classificado",33144771.69,2026-07-09,233486.4,52.12,1,alto,nao,sim,sim,232193.43,""
"56690945000137","VG FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","XPG","12431",202605,11403277.52,2000,0,0,2000,0,0,2000,229581.77,0,231581.77,0.0203,"nao classificado",11284720.04,2026-07-09,229174.06,-3.69,1,alto,nao,sim,sim,231581.77,"caixa indireto via fundo-caixa externo somado ao consolidado"
"61835843000100","BB LCPC INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIM","BB Asset","12431",202605,36525021.15,11193.78,0,205489.39,216683.17,0,0,216683.17,0,0,216683.17,0.0059,"nao classificado",36775274.54,2026-07-09,218167.79,-39.79,1,alto,nao,sim,sim,216683.17,""
"56388082000148","SANTANDER PB ATTUALE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - FIF RESP LIMITADA","San WM","12431",202605,17373783.22,5000,0,0,5000,0,0,5000,202782.14,0,207782.14,0.012,"nao classificado",16959566.99,2026-07-09,202828.32,-250002.88,1,alto,nao,sim,sim,207782.14,"caixa indireto via fundo-caixa externo somado ao consolidado"
"57499088000155","HUNA DEBÊNTURES INCENTIVADAS FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","SWM","12431",202605,25664760.31,0,0,206094,0,206094,4749982,206094,0,0,206094,0.008,"nao classificado",25881547.33,2026-07-09,207834.85,-45766.88,1,medio,nao,sim,sim,206094,"cotas confidenciais nao identificadas: R$ 4.749.982 (nao viram caixa)"
"65680121000177","BB ALEF INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIM","BB Asset","12431",202605,19887201.94,11185.35,0,194622.16,205807.51,0,0,205807.51,0,0,205807.51,0.0103,"nao classificado",20132038.52,2026-07-09,208341.26,-4.65,1,alto,nao,sim,sim,205807.51,""
"58340147000100","BB JÚ INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIMITADA","BB Asset","12431",202605,954669411.95,10659.93,0,192646.3,203306.23,0,0,203306.23,0,0,203306.23,0.0002,"nao classificado",968273397.34,2026-07-09,206203.33,-887.85,1,alto,nao,sim,sim,203306.23,""
