Dia,Gestor_Apelido,Captacao,Resgate,Liquido,PL,Num_Fundos
2026-06-03,"Turim",0,0,0,141565927.42,3
2026-06-03,"UBS",870435.64,1683458.24,-813022.6,7356952824.08,77
2026-06-03,"Valia",1033.89,1033.89,0,94410708.47,1
2026-06-03,"Valora",0,6500612.91,-6500612.91,520840408.99,2
2026-06-03,"Vêneto",0,0,0,27752441.04,1
2026-06-03,"Vinci",0,5056032.26,-5056032.26,2127153090.48,5
2026-06-03,"Vinland",1701951.46,44869747.33,-43167795.87,4721153139.37,9
2026-06-03,"WHG",0,0,0,69690895.63,2
2026-06-03,"XPG",1405468.44,34277959.91,-32872491.47,7620733076.48,45
2026-06-03,"YVY",0,0,0,186434600.89,1
2026-06-05,"4UM",0,0,0,74641442.5,1
2026-06-05,"Absolute",2643131.02,190132829.04,-187489698.02,11794619733.46,12
2026-06-05,"Ace",0,372000,-372000,25186977.73,1
2026-06-05,"AF Invest",0,0,0,368527823.82,4
2026-06-05,"Altera",0,45000,-45000,184578055.67,3
2026-06-05,"Andbank",0,0,0,108073922.26,2
2026-06-05,"ARX",11197375.48,55831013.1,-44633637.62,5932024812.23,9
2026-06-05,"ASA",20000,0,20000,93896378.81,3
2026-06-05,"Asset 1",0,630000,-630000,114292393.38,2
2026-06-05,"Atena",0,0,0,30627297.75,1
2026-06-05,"Augme",700.23,1152017,-1151316.77,490210439.34,2
2026-06-05,"AZ Quest",7645,2890939.51,-2883294.51,761756093.54,3
2026-06-05,"BB Asset",57449061.22,69077900.82,-11628839.6,20187845132.66,93
2026-06-05,"BBM Asset",10000,6000594.62,-5990594.62,169792205.35,2
2026-06-05,"BDR",0,0,0,171689245.77,2
2026-06-05,"Black Swan",0,0,0,22589452.04,1
2026-06-05,"Bocaina",415000,6641000,-6226000,1060773703.74,9
2026-06-05,"BR Partners",0,0,0,715082989.42,14
2026-06-05,"Brainvest",0,0,0,48545558.7,2
2026-06-05,"BRAM",4756424.82,87342396.31,-82585971.49,29038370188.57,80
2026-06-05,"BTG Asset",9092810.92,64713927.58,-55621116.66,7281998497.85,13
2026-06-05,"BTG WM",15565840.18,16817187.74,-1251347.56,16907422088.68,219
2026-06-05,"Butiá",830.88,15015.39,-14184.51,14353343.46,1
2026-06-05,"BV Asset",0,0,0,102783983.93,1
2026-06-05,"Capitânia",261076.32,218679.7,42396.62,2782243644.8,14
2026-06-05,"Citrino",0,0,0,70811506.43,1
2026-06-05,"Daycoval",2036460.28,5245.68,2031214.6,407599783.4,4
2026-06-05,"Daycoval Asset",0,0,0,106446469.22,1
2026-06-05,"Douro",0,0,0,38749624.17,2
2026-06-05,"Drys",0,0,0,23639271.87,1
2026-06-05,"EQI",73299.73,746143.83,-672844.1,106429291.78,1
2026-06-05,"Être-Davos",0,0,0,32595879.69,1
2026-06-05,"Exes",0,0,0,42686461.43,1
2026-06-05,"FAR",0,37324.09,-37324.09,6879393.29,1
2026-06-05,"Franklin Templeton",0,0,0,255338537.21,1
2026-06-05,"G5",1210000,0,1210000,2220602948.07,46
2026-06-05,"Galapagos",0,60597.31,-60597.31,139669581.61,2
2026-06-05,"Galt",0,0,0,167250031.24,2
2026-06-05,"GV Atacama",0,0,0,15563969.06,1
2026-06-05,"Heritage",0,0,0,62112540.18,1
2026-06-05,"IAM",15408183.33,180516868.22,-165108684.89,83816497441.69,310
2026-06-05,"Ibuina",3602613.49,20803773.63,-17201160.14,1065900698.23,2
2026-06-05,"Icatu",1329700,32306024.73,-30976324.73,5214009530.29,15
2026-06-05,"Inter",525194.61,10031912.49,-9506717.88,1087769172.52,5
2026-06-05,"Iridium",400,57718.29,-57318.29,147714762.6,2
2026-06-05,"ITAU Tsy",500000000,0,500000000,25738492192.38,2
2026-06-05,"Jera",0,0,0,33304155.43,1
2026-06-05,"JGP",540674.96,34339579.62,-33798904.66,3760578971.63,9
2026-06-05,"Jive",0,0,0,436965903.2,1
2026-06-05,"Journey",45612.93,523337.26,-477724.33,120304649.34,10
2026-06-05,"Kinea",2241700,2191573.71,50126.29,13948728963.43,189
2026-06-05,"Lakewood",0,0,0,134339140.9,2
2026-06-05,"Legacy",814470.29,44958166.7,-44143696.41,3929273477.15,9
2026-06-05,"MAG",0,0,0,19091686.13,1
2026-06-05,"Maud",0,0,0,68541223.21,1
2026-06-05,"Mirabaud",0,0,0,37199225.62,1
2026-06-05,"MMZR",0,0,0,10224362.43,1
2026-06-05,"Monte Azul",0,0,0,23286058.25,1
2026-06-05,"Monte Bravo",0,0,0,55919512.64,2
2026-06-05,"Navi",0,0,0,9681842.46,1
