DataBook,Grupo,EmissorRaw,MatchVia,Instrumento,Regime,Rating,Coordenador,Serie,Prazo,IndexadorFinal,SpreadFinalPct,IpcaEquivFinalPct,TaxaFinalRaw,NtnbFinal,IndexadorTeto,SpreadTetoPct,NtnbTeto,TaxaTetoRaw,CompressaoBps,DemandaMM,EmissaoMM,OverX,BidsAloc,AlocCortePct,Amort
23/07/2025,CCR,Autoban,alias,DEB,CVM160,AAA,"Safra (Líder), XP, IBBA, BBI e Santander",2a,12y (8/9/10/11/12),,0.15,,"(Deságio): NTNB-35 -0,15%",,,,,,,826,1100,,22/22,,
23/07/2025,Randon,Randon,grupo,DEB,CVM160,AAA,IBBA (L) BBI / BB,1a,5y,CDI,0.85,,CDI + 0.85%,,CDI,0.9,,CDI + 0.90%,5,914000000,55000000,,10/7,76%,bullet
23/07/2025,Randon,Randon,grupo,DEB,CVM160,AAA,IBBA (L) BBI / BB,2a,7 anos,CDI,1.1,,CDI + 1.10%,,CDI,1.1,,CDI + 1.10%,0,558350000,550000000,,7/7,98%,bullet
23/07/2025,CCR,e DEB  Autoban,alias~,DEB,12.431,AAA,"Safra (Líder), XP, IBBA, BBI e Santander",1a,7y (6/7),CDI,0.65,,"(Deságio): CDI+ 0,65%",,,,,,,2288,1400,,22/22,,
23/07/2025,CCR,e DEB  Autoban,alias~,DEB,12.431,AAA,"Safra (Líder), XP, IBBA, BBI e Santander",2a,12y (8/9/10/11/12),IPCA,7.3306,,"(Deságio): NTNB-35 -0,15% (IPCa+7,3306%)",,,,,,,826,1100,,22/22,,
23/07/2025,SBF,,alias~,DEB,CVM160,AA,IBBA (Líder) e BBI,unica,5y,CDI,0.85,,"CDI+0,85 Des(1,02%)",,,,,,,,,,,,"Taxa Fixa: CDI+0,85 Des(1,02%)"
23/07/2025,Randon,,grupo,DEB,CVM160,AAA,"IBBA (Líder), BBI e BB",1a,5y Bullet,CDI,0.85,,"CDI + 0,85%",,CDI,0.9,,"CDI + 0,90%",5,914,550,,10/7,76%,
23/07/2025,Randon,,grupo,DEB,CVM160,AAA,"IBBA (Líder), BBI e BB",2a,7y bullet,CDI,1.1,,"CDI + 1,10%",,CDI,1.1,,"CDI + 1,10%",0,558.3,550,,7/7,98%,
23/07/2025,Localiza,,grupo,DEB,CVM160,AAA,IBBA (Líder),unica,6y,CDI,1.2,,"CDI + 1,20%",,CDI,1.2,,"CDI + 1,20%",0,,,,,,"Taxa Teto: CDI + 1,20%"
24/07/2025,SBF,Inst. Fisia (SBF) IP,alias~,DEB,,,IBBA (L) BBI,unica,5 anos,CDI,0.85,,CDI+0.85 com deságio até CDI+1.02,,,,,,,502,,,,,Taxa Fixa: CDI+0.85 com deságio até CDI+1.02
24/07/2025,Motiva,,alias,DEB,CVM160,AA,"BTG (Líder), ABC, BBI, IBBA e Sant",unica,7y,CDI,1,,"CDI + 1,0%",,CDI,0.8,,"CDI + 0,80% Des(1,0%)",-20,,,,18/18,,Semestral após 1y
25/07/2025,Equatorial,,alias~,DEB,CVM160,A,"BBI (Líder), IBBA, BV e ABC",unica,5y,CDI,2,,"CDI + 2,00%",,CDI,2.4,,"CDI + 2,40%",40,,,,34/23,,"Taxa Teto: CDI + 2,40%"
28/07/2025,Taesa,,grupo,DEB,12.431,AAA,IBBA (Líder),1a,7y (6/7),NTN-B,-0.57,7.1499,"B32 - 0,57% (IPCA + 7,1499%)",B32,NTN-B,-0.47,B32,"B32 - 0,47% ou IPCA + 6,95%",10,527,400,,14/13,84%,
28/07/2025,Taesa,,grupo,DEB,12.431,AAA,IBBA (Líder),2a,10y (8/9/10),NTN-B,-0.3,7.2096,"B35 - 0,30% (IPCA + 7,2096%)",B35,NTN-B,-0.44,B35,"B35 - 0,44% Des(-0,30%) ou IPCA + 6,80%",-14,101,400,,10/10,,
28/07/2025,Localiza,,grupo,DEB,CVM160,AAA,"UBS BB(Líder), XP, BBI, IBBA e BV",unica,7y (5/6/7),CDI,1.3,,"CDI + 1,30%",,,,,,,,,,12/12,,
28/07/2025,Conasa,,grupo,DEB,12.431,AA,BTG (Líder) e Santander,unica,17y Custom.,NTN-B,0.9,8.4973,"B35 + 0,90% (IPCA + 8,4973%)",B35,NTN-B,1.3,B35,"B35 + 1,30%",40,,,,26/26,,
29/07/2025,Vulcabras,,grupo,DEB,CVM160,,Santander(Líder) e XP,unica,5y (2/3/4/5),CDI,0.75,,"CDI + 0,75%",,CDI,0.6,,"CDI + 0,60 Des(0,75%)",-15,,,,,,
29/07/2025,Alupar,,grupo,DEB,CVM160,,IBBA (Líder) e XP,unica,5y bullet,CDI,0.54,,"CDI + 0,54%",,CDI,0.49,,"CDI + 0,49% Des(0,54%)",-5,380,380,1,,,
29/07/2025,Ambiental,,grupo,DEB,12.431,,BTG (Líder),unica,10y Semestral,NTN-B,1.6,9.4537,"B32 + 1,60% (IPCA + 9,4537%)",B32,NTN-B,1.6,B32,"B32 + 1,60% ou IPCA + 7,80%",0,,,,15/15,,
30/07/2025,Taesa,Taesa IP,grupo,DEB,12.431,AAA,IBBA (L),1a,7y (6/7),,,,Teto - 10bps (fixing hoje),,NTN-B,-0.47,B32,"B32 - 0,47% ou IPCA + 6,95%",,527,400,,14/13,84%,
30/07/2025,Taesa,Taesa IP,grupo,DEB,12.431,AAA,IBBA (L),2a,10y (8/9/10),,,,Teto (fixing hoje),,NTN-B,-0.3,B35,"B35 - 0,30% (deságio do -0,44%) ou IPCA + 6,80%",,101,400,,10/10,,
04/08/2025,Way Brasil,,alias,DEB,12.431,AA,"BNDES (Líder), BTG e Daycoval",unica,"20y Semestral, 4y car.",NTN-B,0.65,8.1674,"B35 + 0,65% (IPCA + 8,1674%)",B35,NTN-B,0.95,B35,"B35 + 0,95% ou IPCA + 8,51%",30,,,,25/25,,
06/08/2025,Celesc,,grupo,DEB,CVM160,AA,BV (Líder) e Santander,unica,6y Semestral a partir do 42º mês,CDI,0.74,,"CDI + 0,74%",,CDI,0.67,,"CDI + 0,67% Des(0,75%)",-7,,,,8/8,,
