CNPJ_Fundo,Nome_Fundo,Gestor_Apelido,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m
57279886000171,"UBS EVOLUTION FASSIS FUNDO DE INVESTIMENTO EM INFRAESTRUTURA  RENDA FIXA CRED PRIV RESP LIMITADA","UBS",143.8096,-1438.0329,-467.4591,-226.5537,-106.6438
57279999000177,"CS EVOLUTION CARTAGO DEB INFRA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RF CRED PRIV RESP LIMITADA","UBS",139.1102,149.7166,62.0904,30.0921,14.165
57280201000107,"EVOLUTION NAUTILUS FIF CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE DE INVESTIMENTO EM INFRA","BRAM",130.8241,157.7299,69.4152,33.642,15.836
57280277000132,"CS EVOLUTION ALVORADA DEB INFRA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RF CRED PRIV RESP LIMITADA","UBS",139.5654,150.8093,60.8849,29.5078,13.89
57280468000102,"CSHG MARTH FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","UBS",151.7578,152.4949,61.7676,29.9356,14.0914
57285625000164,"TOP 1825 FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RENDA FIXA CRED PRIV RESP LIMITADA","IAM",40.4317,60.5383,-6.8307,-3.3105,-1.5583
57285759000185,"VRP FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRÉDITO PRIVADO RESP LIMITADA","IAM",152.5057,141.4631,60.3858,29.2659,13.7761
57300689000197,"PWM CHALLENGER FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA","Perfin",55.62,58.9959,-5.5346,-2.6823,-1.2626
57323572000129,"MUTON FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","IAM",160.5598,152.0322,64.3342,31.1795,14.6769
57324934000104,"ZAZU FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RENDA FIXA CRED PRIV RESP LIMITADA","IAM",43.6717,53.6951,-10.4038,-5.0422,-2.3735
57340494000170,"MANDALORE FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","IAM",189.2368,171.2905,55.1224,26.715,12.5754
57341120000170,"HARAS FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","IAM",162.6378,134.1398,58.6397,28.4197,13.3778
57341511000194,"DELFO FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","IAM",139.9694,203.6971,63.4462,30.7492,14.4743
57341650000118,"VIZSLA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA","IAM",159.1803,150.2515,65.4185,31.705,14.9243
57342019000133,"OSLO FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","IAM",163.257,148.2469,64.0472,31.0404,14.6114
57346416000183,"SKYLINE II FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","Lakewood",25.5703,-16.3061,-57.7048,-27.9666,-13.1645
57378230000106,"MIGELLO KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","Kinea",63.2279,45.7753,-15.7467,-7.6316,-3.5924
57378517000136,"BHGJ FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","BTG WM",62.1945,75.0059,-0.0529,-0.0256,-0.0121
57395116000194,"SANTANDER PB BEIRUTE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - FIF RESP LIMITADA","San WM",33.5031,45.6869,-33.5889,-16.2789,-7.6628
57395516000108,"SANTANDER PB 173 INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - FIF RESP LIMITADA","San WM",99.1995,141.7954,57.9189,28.0703,13.2133
57395648000121,"SANTANDER PB KANDEL INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - FIF RESP LIMITADA","San WM",2.3369,40.0431,-31.361,-15.1991,-7.1545
57400187000138,"CALS FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","IAM",37.2593,66.5313,-3.4232,-1.6591,-0.781
57400717000148,"FLORIPA 2 FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RENDA FIXA CRÉD PRIV RESP LIMITADA","IAM",75.6145,78.2581,0.7474,0.3622,0.1705
57400933000193,"OINC FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RENDA FIXA CRÉD PRIV RESP LIMITADA","IAM",146.6479,147.6866,62.5588,30.3191,14.2719
57416421000115,"BALTAR KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","Kinea",59.1946,49.6449,-14.3987,-6.9783,-3.2848
57435321000136,"RIVERPLATE FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRÉD PRIV RESP LIMITADA","IAM",54.7899,66.637,-2.6814,-1.2996,-0.6117
57439066000108,"FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA DWOLF","BRAM",55.8333,78.0645,1.9823,0.9607,0.4522
57449111000105,"BRAM FIF - CLASSE DE  INVESTIMENTO RF DE INVESTIMENTO EM INFRA CDI  CRED PRIV RESP LIMITADA","BRAM",176.0902,126.9376,51.7453,25.0783,11.8049
57466836000101,"DFDD FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO","XPG",191.1857,31.5203,10.4551,5.1123,2.3875
57473219000125,"FUNDO DE INVESTIMENTO FINANCEIRO - CI RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRA ONDAS","BRAM",-105.7673,42.9406,-8.4791,-4.1094,-1.9344
57473503000100,"FUNDO DE INVESTIMENTO FINANCEIRO - CI RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRA BALDER","BRAM",43.8449,71.8357,1.3576,0.6579,0.3097
57473697000135,"FUNDO DE INVESTIMENTO FINANCEIRO CI RENDA FIXA INCENTIVADO INVESTIMENTO EM INFRAESTRUTURA G5 V UNITY","G5",95.8577,78.9891,6.6889,3.2418,1.526
57474275000184,"G5 GUARANTÃ FIF RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA","G5",106.8979,64.835,-7.0432,-3.4135,-1.6068
57474374000166,"G5 ARUBA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA","G5",64.036,93.8496,10.1976,4.9422,2.3264
57492192000118,"MARSIL FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","IAM",119.1136,120.4018,40.7685,19.7584,9.3007
57499088000155,"HUNA DEBÊNTURES INCENTIVADAS FUNDO INCENTIVADO DE INVEST FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","SWM",-35.506,71.8997,-2.0446,-0.9909,-0.4664
57499155000131,"FK FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","BTG WM",89.6175,61.643,-4.6988,-2.2773,-1.072
57512269000174,"NEXT FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA  FIXA","BTG WM",137.3252,145.8168,63.5974,30.8224,14.5088
57512491000177,"BRP TUCUM FIF - CI RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA - RESP LIMITADA","BR Partners",58.8605,98.0404,15.3673,7.4478,3.5058
57527685000146,"AQUA CDI FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","BTG WM",124.937,152.2506,66.1338,32.0517,15.0874
57527967000143,"AQUA FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA","BTG WM",66.7008,79.1901,0.7614,0.369,0.1737
