Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-08-04,"EQI",3311950,3814999.99,-503049.99,454709937.34,3,2025-08-08
2025-08-04,"Exploritas",52036.14,673338.23,-621302.09,115082135.24,2,2025-08-08
2025-08-04,"EXT",250000,0,250000,1335140.37,1,2025-08-08
2025-08-04,"FAR",0,60000,-60000,27324115.6,1,2025-08-08
2025-08-04,"Finacap",11000,31122.73,-20122.73,55801045.95,1,2025-08-08
2025-08-04,"Franklin Templeton",2733296.09,3039991.73,-306695.64,7721401576.36,18,2025-08-08
2025-08-04,"Funcef",0,0,0,852522279.31,2,2025-08-08
2025-08-04,"G5",2726000,3648137.85,-922137.85,821055727.76,9,2025-08-08
2025-08-04,"Galapagos",0,0,0,1081155089.84,5,2025-08-08
2025-08-04,"Galt",108017.98,394890.58,-286872.6,144984615.52,1,2025-08-08
2025-08-04,"Gauss",0,0,0,23076074.11,1,2025-08-08
2025-08-04,"GHT4",1119597.53,614600,504997.53,82078285.75,1,2025-08-08
2025-08-04,"Global",3706581.4,0,3706581.4,21064144.04,1,2025-08-08
2025-08-04,"Guardian",328581.51,1187556.05,-858974.54,61240741.96,2,2025-08-08
2025-08-04,"IAM",4806746200.72,4061593972.43,745152228.29,422656338059.62,41,2025-08-08
2025-08-04,"Ibuina",4688565.3,48090909.15,-43402343.85,1911349371.85,5,2025-08-08
2025-08-04,"Icatu",186250629.87,168419632.35,17830997.52,19893821935.15,49,2025-08-08
2025-08-04,"Impacto",18000,23000,-5000,14795728.26,1,2025-08-08
2025-08-04,"Integral",458075.51,2007553.63,-1549478.12,171911373.07,2,2025-08-08
2025-08-04,"Inter",29694654.37,29992339.35,-297684.98,2595872794.47,9,2025-08-08
2025-08-04,"Investcoop",0,0,0,2007406583.26,4,2025-08-08
2025-08-04,"Iridium",18873333.3,24775350.68,-5902017.38,2300740719.3,3,2025-08-08
2025-08-04,"JGP",341576618.89,241110000.25,100466618.64,12288125078,20,2025-08-08
2025-08-04,"Jive",9449279.11,1015991.72,8433287.39,588394323.14,1,2025-08-08
2025-08-04,"Kadima",0,0,0,6813262.97,1,2025-08-08
2025-08-04,"Kinea",1724933829.16,1343090014.93,381843814.23,39401845068.56,15,2025-08-08
2025-08-04,"Lakewood",0,0,0,84174166.18,1,2025-08-08
2025-08-04,"Legacy",7386250.14,19843437.56,-12457187.42,1609412925.33,4,2025-08-08
2025-08-04,"Lerosa",0,2000,-2000,5530972.4,1,2025-08-08
2025-08-04,"Levante",0,0,0,38643364.89,1,2025-08-08
2025-08-04,"Lifetime",0,1266233.92,-1266233.92,62372940.32,3,2025-08-08
2025-08-04,"M8",12078530.43,3537533.13,8540997.3,1100099637.43,3,2025-08-08
2025-08-04,"MAG",13572335.71,13456893.18,115442.53,2739555495.9,12,2025-08-08
2025-08-04,"Maud",3026548.98,0,3026548.98,23269587.14,1,2025-08-08
2025-08-04,"Mirabaud",1222491.87,385930,836561.87,339825765.42,3,2025-08-08
2025-08-04,"Monte Azul",0,0,0,15272807,1,2025-08-08
2025-08-04,"Monte Bravo",46388946.09,66448569.59,-20059623.5,1526632702.46,8,2025-08-08
2025-08-04,"Nest",0,0,0,14108169.95,1,2025-08-08
2025-08-04,"Norte",78000,2494134.55,-2416134.55,156986368.19,1,2025-08-08
2025-08-04,"Novus",1118724.19,86119.39,1032604.8,114329876.2,1,2025-08-08
2025-08-04,"Nu Asset",29547000,16335000,13212000,3949269870.17,3,2025-08-08
2025-08-04,"Occam",130583042.59,47800359.28,82782683.31,5012942357.91,5,2025-08-08
2025-08-04,"Onze",1225260.07,49682.45,1175577.62,131766054.19,2,2025-08-08
2025-08-04,"Oriz",0,0,0,172850086.2,3,2025-08-08
2025-08-04,"Paramis",28350516.74,24851106.43,3499410.31,1337773716.91,5,2025-08-08
2025-08-04,"Patagônia",50000,228173.67,-178173.67,15582212.32,1,2025-08-08
2025-08-04,"Pátria",1444646.23,0,1444646.23,19994060.95,1,2025-08-08
2025-08-04,"Plural",9994514.59,22059891.67,-12065377.08,2332569542.45,8,2025-08-08
2025-08-04,"PNBY",4994004.05,2424859.58,2569144.47,392514647.86,3,2025-08-08
2025-08-04,"Polígono",1600000,200000,1400000,33916384.74,1,2025-08-08
2025-08-04,"Polo",12746722.39,10229173.05,2517549.34,1927477586.03,8,2025-08-08
2025-08-04,"Porto Asset",177163281.59,180046824.57,-2883542.98,10064123059.55,9,2025-08-08
2025-08-04,"Portofino",4492529,4745917.21,-253388.21,1095324307.4,5,2025-08-08
2025-08-04,"Prada",0,18043.43,-18043.43,57311025.23,2,2025-08-08
2025-08-04,"Previ",0,0,0,691444465.21,1,2025-08-08
2025-08-04,"Principal",1711774.81,8647171.62,-6935396.81,625950176.26,6,2025-08-08
2025-08-04,"Prumo",0,50145.22,-50145.22,36845410.94,1,2025-08-08
2025-08-04,"Quantitas",3600000,3829680.54,-229680.54,1597667116.63,2,2025-08-08
2025-08-04,"Rafter",102091.2,7230519.98,-7128428.78,563885116.7,8,2025-08-08
2025-08-04,"Reach",0,0,0,60979485.88,1,2025-08-08
2025-08-04,"Regia",785566820.75,25251358.36,760315462.39,9369863281.8,4,2025-08-08
2025-08-04,"Rio Bravo",1718593.5,1604992.68,113600.82,133520159.24,2,2025-08-08
2025-08-04,"Riza",229766587.69,72807977.04,156958610.65,8651007093.64,6,2025-08-08
2025-08-04,"Root",59004935.7,13447000,45557935.7,3417531024.04,8,2025-08-08
2025-08-04,"Rubik",0,0,0,34260522.99,2,2025-08-08
2025-08-04,"Safra Asset",420985603.99,477658418.36,-56672814.37,48549049912.78,23,2025-08-08
2025-08-04,"SAM",725909683.69,868324483.59,-142414799.9,127042459277.41,21,2025-08-08
2025-08-04,"San WM",27098566.79,7312499.64,19786067.15,776750230.33,9,2025-08-08
2025-08-04,"Scalare",235000,0,235000,14603234.88,3,2025-08-08
2025-08-04,"SFI",1587177.59,390964.31,1196213.28,81730835.18,1,2025-08-08
2025-08-04,"Solis",12590391.96,3778282.75,8812109.21,812022144.61,2,2025-08-08
2025-08-04,"Somma",1337937.97,1255176.1,82761.87,799891717.58,4,2025-08-08
2025-08-04,"Sonata",0,0,0,137631047.07,4,2025-08-08
2025-08-04,"Sparta",259025090.41,264539754.24,-5514663.83,10753706092.27,17,2025-08-08
2025-08-04,"Springs",5000,0,5000,4079917.06,1,2025-08-08
2025-08-04,"SPX",87912072.35,20632906.72,67279165.63,5718587122.68,4,2025-08-08
2025-08-04,"Starboard",10314.87,0,10314.87,45085536.3,1,2025-08-08
2025-08-04,"Stonex",0,0,0,173191924.98,1,2025-08-08
2025-08-04,"Strix",120000,275000,-155000,375359206.99,1,2025-08-08
2025-08-04,"Sulamérica",348191860.4,338187429.23,10004431.17,23751593324.93,25,2025-08-08
2025-08-04,"SVN",36411286.42,22771474.01,13639812.41,2671688817.92,2,2025-08-08
2025-08-04,"TAG",0,0,0,79230167.95,1,2025-08-08
2025-08-04,"Tagus",1630598.01,3815210.88,-2184612.87,441385210.8,3,2025-08-08
2025-08-04,"Tenax",0,0,0,11172517.03,1,2025-08-08
2025-08-04,"Tivio",166178079.44,99994042.98,66184036.46,3750825472.68,7,2025-08-08
2025-08-04,"Trígono",975179.75,114067.25,861112.5,139104228.95,1,2025-08-08
2025-08-04,"Turim",5391531.09,7378259.97,-1986728.88,243425309.79,1,2025-08-08
2025-08-04,"Tyton",7075764.6,475945.02,6599819.58,268853456.78,3,2025-08-08
2025-08-04,"UBS",302288511.05,407226853.15,-104938342.1,9931842510.92,26,2025-08-08
2025-08-04,"Valora",66444298.07,15625543.71,50818754.36,3725900117.68,5,2025-08-08
2025-08-04,"VCM",0,200000,-200000,51039678.17,1,2025-08-08
2025-08-04,"Vêneto",0,0,0,22759100.04,1,2025-08-08
2025-08-04,"Verde",0,86000,-86000,383468066.76,2,2025-08-08
2025-08-04,"Vinci",46452713.64,30675679.09,15777034.55,4784752162.12,14,2025-08-08
2025-08-04,"Vinland",32038516.62,30166522.71,1871993.91,4048738283.85,4,2025-08-08
2025-08-04,"Vitra",0,0,0,40138004.6,1,2025-08-08
2025-08-04,"VLGI",13099889.99,9887709.18,3212180.81,195421480.6,2,2025-08-08
2025-08-04,"Vox",28750,109707.99,-80957.99,75977930.35,1,2025-08-08
2025-08-04,"Warren",290407.79,408084.67,-117676.88,136157294.21,3,2025-08-08
2025-08-04,"Wise",5307036.89,2772163.2,2534873.69,220403811.97,2,2025-08-08
2025-08-04,"WIT",0,0,0,26283000.06,1,2025-08-08
2025-08-04,"XPG",376443606.6,444875405.43,-68431798.83,21260696480.1,44,2025-08-08
2025-08-04,"XVI",0,0,0,17490482.02,1,2025-08-08
2025-08-04,"ZSYS",258156.72,0,258156.72,12435649.08,1,2025-08-08
2025-08-11,"4UM",38248.69,4968666.37,-4930417.68,311042077.58,2,2025-08-15
2025-08-11,"Absolute",310331279.61,133908851.07,176422428.54,18649869079.32,8,2025-08-15
2025-08-11,"AF Invest",6430046.56,3946065.54,2483981.02,1182816624.78,4,2025-08-15
2025-08-11,"Altera",377349.92,0,377349.92,109932222.58,2,2025-08-15
2025-08-11,"Amazonia",0,0,0,299594825.97,1,2025-08-15
2025-08-11,"AMW",358000,5274000,-4916000,1353740758.26,8,2025-08-15
2025-08-11,"Angá",0,0,0,2443598.68,1,2025-08-15
2025-08-11,"Aramus",0,0,0,22368701.5,1,2025-08-15
2025-08-11,"ARX",155727194.44,102935932.29,52791262.15,19304940919.27,13,2025-08-15
2025-08-11,"ASA",30173,1701955.65,-1671782.65,297075572.13,5,2025-08-15
2025-08-11,"Asset 1",8650000,2400000,6250000,160650581.5,1,2025-08-15
2025-08-11,"Atena",2435093.25,10673955.26,-8238862.01,885657021.68,5,2025-08-15
2025-08-11,"Augme",1430000,1490029,-60029,2189648748.26,15,2025-08-15
2025-08-11,"AZ Quest",134941636.95,259928060.94,-124986423.99,25077096959.4,12,2025-08-15
2025-08-11,"Banrisul",162980284.32,153308270.22,9672014.1,4391869463.52,4,2025-08-15
2025-08-11,"BB Asset",4394135117.56,3655770584.47,738364533.09,242924425877.68,19,2025-08-15
2025-08-11,"BBM Asset",307518.67,876001.42,-568482.75,1318052791.87,6,2025-08-15
2025-08-11,"Berkana",0,0,0,30926707.04,1,2025-08-15
2025-08-11,"BNP",2165625.77,1848355,317270.77,6516129478.43,12,2025-08-15
2025-08-11,"Bocaina",0,0,0,73278791.67,2,2025-08-15
2025-08-11,"Brainvest",1870000,0,1870000,358848804.82,11,2025-08-15
2025-08-11,"BRAM",3022144436.66,2174143884.01,848000552.65,174817689425.7,38,2025-08-15
2025-08-11,"Brave",1476338.66,446372.04,1029966.62,369916001.08,2,2025-08-15
2025-08-11,"BRM",0,0,0,57277428.76,1,2025-08-15
2025-08-11,"BRZ",26000,0,26000,572785154.92,6,2025-08-15
2025-08-11,"BTG Asset",189556333.67,250061194.97,-60504861.3,27232661314.7,37,2025-08-15
2025-08-11,"BTG WM",52155442,13103837.69,39051604.31,4851921955.98,55,2025-08-15
2025-08-11,"Butiá",4776000,4032000,744000,585327638.38,3,2025-08-15
2025-08-11,"BV Asset",26000000,26000000,0,16909395.44,1,2025-08-15
2025-08-11,"Capitânia",7338342.07,85714550.1,-78376208.03,4582671757.9,20,2025-08-15
2025-08-11,"Capri",0,50000,-50000,260974197.96,5,2025-08-15
2025-08-11,"Cartor",2934453.8,146981.61,2787472.19,716244225.88,1,2025-08-15
2025-08-11,"CEF Asset",699357373.14,272131765.16,427225607.98,66203962743.25,11,2025-08-15
2025-08-11,"Chromo",500000,1755096.03,-1255096.03,96932211.01,1,2025-08-15
2025-08-11,"DAO",0,0,0,36751482.43,1,2025-08-15
2025-08-11,"Daycoval",42248146,32885225.84,9362920.16,4115534727,7,2025-08-15
2025-08-11,"Devant",800,27946.87,-27146.87,17856702.42,2,2025-08-15
2025-08-11,"Drys",30201426.84,15928998.3,14272428.54,448965137.91,2,2025-08-15
2025-08-11,"Dynamo",0,0,0,659164062.1,2,2025-08-15
2025-08-11,"Ekho",0,0,0,21202745.73,1,2025-08-15
2025-08-11,"EQI",743959,532999.98,210959.02,456358373.11,3,2025-08-15
2025-08-11,"Exploritas",3507000.26,105500.72,3401499.54,113946684.63,2,2025-08-15
2025-08-11,"EXT",0,0,0,1539359.06,1,2025-08-15
2025-08-11,"FAR",1050000,400000,650000,28289782.67,1,2025-08-15
2025-08-11,"Finacap",0,41711.72,-41711.72,56121913.32,1,2025-08-15
2025-08-11,"Franklin Templeton",3678416.82,4548768.21,-870351.39,7746262602.79,18,2025-08-15
