CNPJ,Ref,Media180,NDias
60061182000132,202512,19712635,126
60061182000132,202601,19925385,126
60061182000132,202602,20100509,124
60061182000132,202603,20270609,123
60061182000132,202604,20420262,122
60061182000132,202605,20502197,121
60061182000132,202606,20550983,122
60061182000132,202607,20610284,124
60061182000132,HOJE,20609804,121
60075657000140,202512,72438041,108
60075657000140,202601,84408948,126
60075657000140,202602,102278439,124
60075657000140,202603,120360497,123
60075657000140,202604,128718820,122
60075657000140,202605,131665680,121
60075657000140,202606,128933715,122
60075657000140,202607,122366711,124
60075657000140,HOJE,121673860,121
60096297000162,202512,146601945,126
60096297000162,202601,112921767,126
60096297000162,202602,79343120,124
60096297000162,202603,36796801,123
60096297000162,202604,5148035,122
60096297000162,202605,5121108,121
60096297000162,202606,5090762,121
60096297000162,202607,5055196,123
60096297000162,HOJE,5049270,121
60096865000125,202512,50185315,126
60096865000125,202601,51152653,126
60096865000125,202602,51724280,124
60096865000125,202603,51654332,123
60096865000125,202604,51571624,122
60096865000125,202605,51435593,121
60096865000125,202606,51236664,122
60096865000125,202607,51023621,124
60096865000125,HOJE,50942931,121
60124635000122,202512,65895033,121
60124635000122,202601,66688759,122
60124635000122,202602,67450864,120
60124635000122,202603,68171633,118
60124635000122,202604,68790600,116
60124635000122,202605,69196558,109
60124635000122,202606,69552821,92
60124635000122,202607,70043397,78
60124635000122,HOJE,70109493,75
60127023000193,202512,130610825,116
60127023000193,202601,132355889,116
60127023000193,202602,134005002,114
60127023000193,202603,135619824,111
60127023000193,202604,136958861,108
60127023000193,202605,137709516,99
60127023000193,202606,138331601,87
60127023000193,202607,139375280,73
60127023000193,HOJE,139509834,70
60176858000133,202512,31519363,125
60176858000133,202601,28490413,125
60176858000133,202602,24697951,123
60176858000133,202603,18444348,122
60176858000133,202604,17061880,122
60176858000133,202605,16462787,121
60176858000133,202606,15450847,119
60176858000133,202607,13456291,111
60176858000133,HOJE,13327424,107
60185164000162,202512,68494047,126
60185164000162,202601,69220546,126
60185164000162,202602,69914409,124
60185164000162,202603,70746572,123
60185164000162,202604,66148002,122
60185164000162,202605,56954831,121
60185164000162,202606,47402101,122
60185164000162,202607,37250314,124
60185164000162,HOJE,35921857,121
60222497000114,202512,21451267,126
60222497000114,202601,21666900,126
60222497000114,202602,21879688,124
60222497000114,202603,22076853,123
60222497000114,202604,22205458,122
60222497000114,202605,22325863,121
60222497000114,202606,22467068,122
60222497000114,202607,22614628,124
60222497000114,HOJE,22623911,121
60233116000100,202512,45490494,126
60233116000100,202601,45983142,126
60233116000100,202602,46480338,124
60233116000100,202603,46912310,123
60233116000100,202604,47208375,122
60233116000100,202605,47548133,121
60233116000100,202606,47876159,122
60233116000100,202607,48174878,124
60233116000100,HOJE,48194901,122
60260680000104,202512,30704380,126
60260680000104,202601,36375157,126
60260680000104,202602,39470671,124
60260680000104,202603,41775286,123
60260680000104,202604,41734045,122
60260680000104,202605,41572360,121
60260680000104,202606,41626723,122
60260680000104,202607,42482154,124
60260680000104,HOJE,42631896,121
60261139000110,202512,39864238,126
60261139000110,202601,43470347,126
60261139000110,202602,46682794,124
60261139000110,202603,49124403,123
60261139000110,202604,49355136,122
60261139000110,202605,47871854,121
60261139000110,202606,45509587,122
60261139000110,202607,42423835,124
60261139000110,HOJE,42039200,121
60276261000160,202512,27169677,126
60276261000160,202601,27429142,126
60276261000160,202602,27694994,124
60276261000160,202603,27957602,123
60276261000160,202604,28150427,122
60276261000160,202605,28298843,121
60276261000160,202606,28448231,122
60276261000160,202607,28606592,124
60276261000160,HOJE,28614654,121
60291736000198,202512,93501338,126
60291736000198,202601,97339878,126
60291736000198,202602,98977604,124
60291736000198,202603,100529040,123
60291736000198,202604,101831007,122
60291736000198,202605,101879311,121
60291736000198,202606,97788030,122
60291736000198,202607,93375519,124
