CNPJ_Fundo,Nome_Fundo,Gestor_Apelido,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m
63112599000175,"PORTO PITANGUEIRA IS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","Porto Asset",128.4753,110.2854,111.096,103.7584,
63125524000129,"ARES CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA","BTG Asset",108.7111,103.8695,110.1289,110.3946,
63174249000133,"LA REINA KINEA FIF FI INCENTIVADO EM DEBÊNTURES DE INFRA RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","Kinea",56.4853,67.1989,13.3971,59.5836,
63278825000192,"GRIF LIQUIDEZ FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA","Grif",103.0355,97.8532,102.8887,101.8673,
63285329000166,"DRYS SHELTER PREV XP FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA","Drys",99.6572,101.562,113.9517,97.206,
63405106000195,"ASA NORTE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA","AZ Quest",134.4693,119.2023,90.7721,93.1765,
63406337000113,"VALORA ITAU PREVIDENCIA FIFE FIF RF CRED PRIV LONGO PRAZO RESP LIMITADA","Valora",117.6234,107.1851,121.5392,121.7857,
63442435000106,"AZ QUEST B PREVIDÊNCIA ALTRO MASTER FIFE FIF - CI MULTIMERCADO CRED PRIV -  RESP LIMITADA","AZ Quest",113.7841,108.4124,116.1657,93.3261,
63445061000182,"JARDIM BOTÂNICO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA","JGP",104.0691,96.9917,106.7685,104.9651,
63460253000168,"BRADESCO VITTA MÁSTER FIF - CLASSE DE INVESTIMENTO RENDA FIXA - CRED PRIV - RESP LIMITADA","BRAM",111.2423,106.0342,113.4461,106.2588,
63530215000134,"UBS EVOLUTION ESTRUTURA FUND II INFRA FI EM INFRAESTRUTURA RENDA FIXA CREDITO PRIVADO RESP LIMITADA","UBS",95.2724,97.4206,104.4496,,
63532720000118,"UBS EVOLUTION SIENA INFRA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRED PRIV RESP LIMITADA","UBS",103.8943,94.4367,100.0834,91.9658,
63533177000173,"UBS EVOLUTION STARLINK FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RENDA FIXA CRED PRIV RESP LIMITADA","UBS",147.7728,95.4832,15.1383,,
63534145000192,"UBS EVOLUTION ROKA FUJI FUNDO DE INVESTIMENTO EM INFRAESTRUTURA - RENDA FIXA CRED PRIV RESP LIMITADA","UBS",104.6532,98.2104,106.5367,,
63556163000175,"A1 HIGH GRADE PREV FIF RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA","Asset 1",114.1542,110.7165,120.8266,118.0922,
63608767000118,"ABSOLUTE DFP FIFE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","Absolute",113.2064,103.5826,124.2553,99.0968,
63727006000185,"ABSOLUTE HIDRA PRÉ 2 ANOS A MASTER FI DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","Absolute",408.6322,107.9994,74.8842,,
63806809000125,"HERITAGE RUBY MASTER II FUNDO DE INVESTIMENTO RENDA FIXA INFRA CRÉDITO PRIVADO - RESP LIMT","Heritage",-41.9182,83.376,120.7871,99.9856,
63829969000190,"BTG PACTUAL YIELD 24 HORAS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA","BTG Asset",101.6062,97.506,103.7318,102.9848,
63859087000177,"ABSOLUTE HIDRA CA MASTER FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","Absolute",87.0471,82.4934,106.8521,94.9039,
63882570000172,"PIRACAIA CDI KINEA FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV RESP LIMITADA","Kinea",36.9229,145.2195,132.2892,109.6077,
63900490000100,"CAMPANIA KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV - RESP LIMITADA","Kinea",24.8399,62.5276,14.1116,62.0922,
63900709000163,"LIMA EVALDT KINEA FIF FI INCENTIVADO EM DEBÊNTURES DE INFRA RF CRED PRIV RESP LIMITADA","Kinea",32.0941,63.0476,22.6091,67.0345,
63901833000143,"SAIUALA KINEA FIF - FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RF CRED PRIV - RESP LIMITADA","Kinea",41.8863,62.8332,10.3673,57.6333,
63953556000112,"POLO FI FINANCEIRO RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA - RESPONSABILIDADE LIMITADA","Polo",103.7724,100.8822,108.2931,,
64008119000193,"SANTANDER DC RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA","SAM",117.8181,112.7763,117.5526,117.4079,
64025077000107,"ICATU VANGUARDA IPORANGA PG FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRED PRIV - RESP LIMITADA","Icatu",92.8228,93.338,132.8332,114.0784,
64138938000155,"CNTA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA","XPG",80.4407,88.3037,97.0623,93.7858,
64142774000130,"HNRQ CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADA EM INFRAESTRUTURA - RESPONSABILIDADE LIMITADA","ASA",97.8214,105.2465,67.061,79.3577,
64310078000195,"ITAÚ DEB INCENTIVADAS PÓS FIXADO SF FIIF EM INFRA RF CRED PRIV RESP LIMITADA","IAM",70.2285,95.7208,109.7293,103.332,
64366238000118,"PREVCUMMINS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA","BTG Asset",105.3628,97.0551,102.8753,91.5513,
64429184000192,"DRIVE CDI D5 FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA","PNBY",94.3528,89.7125,98.8577,99.0106,
64436974000103,"BB MASTER III RENDA FIXA DEBÊNTURES INCENTIVADAS FIF INVESTIMENTO EM INFRAESTRUTURA RESP LIMITADA","BB Asset",6.3449,90.8395,82.6552,,
64440839000123,"BB TOP RENDA FIXA DEBÊNTURES INCENTIVADAS CDI V FIF EM INFRAESTRUTURA  RESPONSABILIDADE LIMITADA","BB Asset",96.5022,98.8468,,,
64487678000123,"AZ QUEST STRUTTURATO OPPORTUNA PREVIDENCIÁRIO FIF MULTIMERCADO CRÉDITO PRIVADO RL","AZ Quest",127.8884,121.4161,138.0406,,
64593756000174,"RB VITÓRIA 2 FUNDO INCENTIVADO DE INVEST FINANCEIRO RENDA FIXA INVESTIMENTO EM INFRA - RESP LIMITADA","RB Asset",178.5325,123.502,144.3735,,
64626717000126,"IBIUNA RF ATIVO INFRA FIF - CI RENDA FIXA INCENTIVADO DE  INVESTIMENTO EM INFRA - RESP LIMITADA","Ibuina",79.0034,105.0205,116.9122,,
