Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-08-04,"Safra Asset",1135939530.31,698722700.65,437216829.66,13690655735.6,76,2025-08-08
2025-08-04,"SAM",532600780.06,22130100,510470680.06,7302258674.13,7,2025-08-08
2025-08-04,"San Tsy",0,0,0,14358869905.81,2,2025-08-08
2025-08-04,"San WM",100326524.14,1443135.65,98883388.49,4739666378.32,92,2025-08-08
2025-08-04,"Scalare",26650731.39,8848171.51,17802559.88,2218116200.94,3,2025-08-08
2025-08-04,"Seven Pounds",0,0,0,5115757.1,1,2025-08-08
2025-08-04,"Somma",228730.1,200,228530.1,13242836.75,1,2025-08-08
2025-08-04,"Sparta",267842990.2,9005252.65,258837737.55,5801274252.84,14,2025-08-08
2025-08-04,"SPX",18971054.19,2711438.8,16259615.39,1500824504.71,3,2025-08-08
2025-08-04,"Sulamérica",87600,194509.75,-106909.75,1075173695.86,3,2025-08-08
2025-08-04,"Suno",0,70000,-70000,73918805.53,2,2025-08-08
2025-08-04,"SWM",7906982.18,10944.4,7896037.78,293849818.45,4,2025-08-08
2025-08-04,"TAG",800000,0,800000,34540666.68,1,2025-08-08
2025-08-04,"Tenax",4918357.49,7156883.26,-2238525.77,204418797.09,1,2025-08-08
2025-08-04,"Tivio",5203433,10991135.8,-5787702.8,296247235.31,5,2025-08-08
2025-08-04,"Tori 21",0,0,0,14349088.82,1,2025-08-08
2025-08-04,"Trígono",1538.17,34000,-32461.83,43849122.91,1,2025-08-08
2025-08-04,"Turim",0,0,0,150873157.84,3,2025-08-08
2025-08-04,"UBS",39038418.99,12482920.25,26555498.74,7140953776.3,70,2025-08-08
2025-08-04,"Valia",35676.81,34798.06,878.75,90894363.68,1,2025-08-08
2025-08-04,"Valora",4270445.42,0,4270445.42,154341526.51,2,2025-08-08
2025-08-04,"Vêneto",0,0,0,54714334.33,1,2025-08-08
2025-08-04,"Vinci",4927437.04,206400,4721037.04,1543885691.82,5,2025-08-08
2025-08-04,"Vinland",47000,32480720.91,-32433720.91,5025349268.61,3,2025-08-08
2025-08-04,"WHG",2535043.66,395000,2140043.66,68814084.7,2,2025-08-08
2025-08-04,"XPG",587444821.64,1878363751.96,-1290918930.32,11229414731.35,38,2025-08-08
2025-08-04,"YVY",0,1256000,-1256000,185071394.57,1,2025-08-08
2025-08-11,"4UM",2000000,0,2000000,18274954.15,1,2025-08-15
2025-08-11,"Absolute",372225178.27,27265713.37,344959464.9,10526502503.4,10,2025-08-15
2025-08-11,"Ace",91160,11233,79927,3106658.37,1,2025-08-15
2025-08-11,"AF Invest",0,0,0,337830997.52,4,2025-08-15
2025-08-11,"Altera",15900000,8383000,7517000,193209490.49,3,2025-08-15
2025-08-11,"Andbank",7746000.3,0,7746000.3,94572760.52,2,2025-08-15
2025-08-11,"ARX",118994194.5,26953779.47,92040415.03,5945992945.79,8,2025-08-15
2025-08-11,"ASA",0,0,0,95377717.09,3,2025-08-15
2025-08-11,"Asset 1",750000,250000,500000,40916981.02,1,2025-08-15
2025-08-11,"Atena",13548.68,3215.25,10333.43,21011355.35,1,2025-08-15
2025-08-11,"Augme",215292.07,374641.44,-159349.37,117202261.82,2,2025-08-15
2025-08-11,"AZ Quest",2181927.95,4610006.56,-2428078.61,555468532.93,2,2025-08-15
2025-08-11,"BB Asset",541682565.9,80328736.4,461353829.5,14281749415.2,65,2025-08-15
2025-08-11,"BBM Asset",1500000,18869.35,1481130.65,145108935.68,2,2025-08-15
2025-08-11,"BDR",0,0,0,172599433.95,2,2025-08-15
2025-08-11,"Black Swan",10000,0,10000,24656257.11,1,2025-08-15
2025-08-11,"Bocaina",1800000,420000,1380000,505209424.45,7,2025-08-15
2025-08-11,"BR Partners",0,0,0,384636725.67,9,2025-08-15
2025-08-11,"Brainvest",0,0,0,33427320.53,1,2025-08-15
2025-08-11,"BRAM",794824430.73,36230754.81,758593675.92,17336637887.43,56,2025-08-15
2025-08-11,"BTG Asset",66331859.68,22943288.36,43388571.32,4573346767.77,12,2025-08-15
2025-08-11,"BTG WM",866613360.18,690929053.89,175684306.29,16220760768.85,180,2025-08-15
2025-08-11,"Butiá",10,55622.82,-55612.82,15875445.41,1,2025-08-15
2025-08-11,"BV Asset",35000000,0,35000000,22041184.94,1,2025-08-15
2025-08-11,"Capitânia",5365487.59,7460828.54,-2095340.95,2767212208.02,12,2025-08-15
2025-08-11,"Citrino",0,0,0,68206302.62,1,2025-08-15
2025-08-11,"Daycoval",1339248.42,389549.08,949699.34,142972405.57,3,2025-08-15
2025-08-11,"Daycoval Asset",0,0,0,90075944.25,1,2025-08-15
2025-08-11,"Douro",0,0,0,52367972.6,2,2025-08-15
2025-08-11,"Drys",0,0,0,24769841.85,1,2025-08-15
2025-08-11,"EQI",13007108.89,981365.36,12025743.53,148932433.81,1,2025-08-15
2025-08-11,"Exes",0,0,0,42970716.45,1,2025-08-15
2025-08-11,"FAR",37192.96,1211.88,35981.08,9694222.85,1,2025-08-15
2025-08-11,"Franklin Templeton",0,0,0,306086410.89,1,2025-08-15
2025-08-11,"G5",12073000.02,500000,11573000.02,1523319433.41,43,2025-08-15
2025-08-11,"Galapagos",98000,1821452.38,-1723452.38,137238236.59,2,2025-08-15
2025-08-11,"Galt",0,0,0,124159569.57,2,2025-08-15
2025-08-11,"GV Atacama",0,0,0,16670795.12,1,2025-08-15
2025-08-11,"Heritage",2000000,0,2000000,86425295.14,1,2025-08-15
2025-08-11,"IAM",642645842.34,75861160.83,566784681.51,72666073199.13,248,2025-08-15
2025-08-11,"Ibuina",1676098.37,0,1676098.37,584423610.09,1,2025-08-15
2025-08-11,"Icatu",26073085.87,1078862.85,24994223.02,2418190652.17,9,2025-08-15
2025-08-11,"Inter",15061839.5,5071056.08,9990783.42,949145314.6,5,2025-08-15
2025-08-11,"Iridium",51599.46,595600.06,-544000.6,157386073.28,2,2025-08-15
2025-08-11,"ITAU Tsy",0,0,0,17402440519.31,1,2025-08-15
2025-08-11,"Jera",0,0,0,40239400.1,1,2025-08-15
2025-08-11,"JGP",34768692.72,1788449.32,32980243.4,2426839641.98,8,2025-08-15
2025-08-11,"Journey",3439786.26,3967028.71,-527242.45,605774083.45,10,2025-08-15
2025-08-11,"Kinea",39062703.74,8698110,30364593.74,13357926649.72,182,2025-08-15
2025-08-11,"Lakewood",500000,0,500000,74486110.64,1,2025-08-15
2025-08-11,"Legacy",167342435.13,14773250.67,152569184.46,2522290935.44,5,2025-08-15
2025-08-11,"MAG",0,0,0,16858362.97,1,2025-08-15
2025-08-11,"Maud",720000,0,720000,45625816.6,1,2025-08-15
2025-08-11,"Mirabaud",31498.29,0,31498.29,27310951.8,1,2025-08-15
2025-08-11,"MMZR",174000,0,174000,6562639.56,1,2025-08-15
2025-08-11,"Monte Azul",0,0,0,22424369.89,1,2025-08-15
2025-08-11,"Monte Bravo",0,0,0,53175449.26,2,2025-08-15
2025-08-11,"Navi",0,0,0,9719833.33,1,2025-08-15
2025-08-11,"Newave",332500,0,332500,41046570.8,1,2025-08-15
2025-08-11,"Nikos",16352273.39,2567245.22,13785028.17,268645317.12,3,2025-08-15
2025-08-11,"Novus",1740000,0,1740000,59349556.15,1,2025-08-15
2025-08-11,"Nu Asset",0,500000,-500000,65922431.77,1,2025-08-15
