Gestor_Apelido,Retorno_1s,Retorno_1m,Retorno_3m,Retorno_6m,Retorno_12m,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m,DataBase
"Troon",0.2851,1.1706,1.6177,1.6177,1.6177,108.4416,105.3103,48.16,23.522,10.9652,2026-07-13
"Turim",0.2698,1.1366,1.4688,1.4688,1.4688,102.6061,102.247,43.7279,21.3573,9.9561,2026-07-13
"Tyton",0.2872,1.2641,1.648,1.648,1.648,109.2377,113.722,49.061,23.962,11.1703,2026-07-13
"UBS",0.2904,1.1458,1.5285,1.5285,1.5285,110.449,103.0735,45.5057,22.2256,10.3609,2026-07-13
"Valora",0.4143,1.2168,1.8046,1.8046,1.8046,157.5878,109.4641,53.7244,26.2397,12.2321,2026-07-13
"Verde",0.1115,-0.1122,0.5502,0.5502,0.5502,42.4219,-10.0936,16.3814,8.0009,3.7298,2026-07-13
"Vinci",0.3302,1.1691,1.6029,1.6029,1.6029,125.5691,105.169,47.7191,23.3066,10.8648,2026-07-13
"Vinland",0.2849,1.2627,1.825,1.825,1.825,108.3733,113.5927,54.3323,26.5366,12.3705,2026-07-13
"VLGI",0.2854,1.178,1.6056,1.6056,1.6056,108.5578,105.9732,47.8009,23.3466,10.8834,2026-07-13
"Vox",0.256,1.1394,1.5834,1.5834,1.5834,97.3523,102.504,47.1392,23.0234,10.7328,2026-07-13
"Warren",0.2948,1.5079,1.6487,1.6487,1.6487,112.1294,128.9765,48.98,23.9349,11.1667,2026-07-07
"Wise",0.1983,1.0859,1.4086,1.4086,1.4086,75.4158,97.6864,41.9345,20.4813,9.5478,2026-07-13
"WIT",0.3275,1.3883,1.9273,1.9273,1.9273,124.5703,124.8891,57.3789,28.0246,13.0642,2026-07-13
"XPG",0.3057,1.3687,1.8452,1.8452,1.8452,116.2543,123.1332,54.9342,26.8306,12.5076,2026-07-13
"XVI",0.2902,1.2312,1.5371,1.5371,1.5371,110.3561,105.3077,45.6646,22.3148,10.4108,2026-07-07
"ZSYS",0.3313,0.912,1.382,1.382,1.382,126.0028,82.0397,41.1438,20.0951,9.3677,2026-07-13
