CNPJ Gestor,Nome Gestor,Apelido Gestor
14.595.392/0001-93,SPX EQUITIES GESTÃO DE RECURSOS LTDA,SPX
15.032.609/0001-10,STARBOARD ASSET LTDA.,Starboard
06.332.955/0001-22,STEN GESTÃO PATRIMONIAL LTDA.,Sten
11.888.689/0001-59,STK CAPITAL GESTORA DE RECURSOS LTDA.,STK
20.505.773/0001-37,STONEX INVESTIMENTOS LTDA.,Stonex
52.720.110/0001-21,STRIX CAPITAL GESTÃO DE PATRIMÔNIO LTDA.,Strix
11.006.650/0001-60,STUDIO INVESTIMENTOS ADMINISTRADORA DE RECURSOS LTDA.,Studio
21.813.291/0001-07,SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,Sulamérica
54.286.457/0001-33,Sul América Gestão de Investimentos S.A.,Sulamérica
01.704.513/0001-46,SUL AMÉRICA SEGUROS DE PESSOAS E PREVIDÊNCIA S.A.,Sulamérica
11.304.223/0001-69,SUNO GESTORA DE RECURSOS LTDA,Suno
44.476.932/0001-80,SVN GESTORA DE RECURSOS LTDA,SVN
34.867.534/0001-31,SWM GESTAO DE RECURSOS LTDA.,SWM
01.591.499/0001-11,TAG INVESTIMENTOS LTDA,TAG
04.369.038/0001-97,TAGUS INVESTIMENTOS LTDA,Tagus
22.778.532/0001-97,TAÍBA INVESTIMENTOS LTDA.,Taíba
43.777.696/0001-70,TENAX CAPITAL LTDA.,Tenax
30.782.926/0001-47,TERA INVESTIMENTOS LTDA.,Tera
03.384.738/0001-98,TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,Tivio
54.616.855/0001-70,TORI 21 CAPITAL LTDA.,Tori 21
26.093.429/0001-64,TRACK CAPITAL GESTÃO DE RECURSOS LTDA,Track
55.648.867/0001-40,TROON GESTORA DE RECURSOS LTDA.,Troon
23.890.968/0001-36,TRUXT INVESTIMENTOS LTDA.,Truxt
28.925.400/0001-27,TRÍGONO CAPITAL LTDA,Trígono
04.686.893/0001-21,TURIM 21 INVESTIMENTOS LTDA,Turim
46.503.558/0001-90,TYTON CAPITAL INVESTIMENTOS LTDA.,Tyton
11.519.438/0001-05,UBS BRASIL ADMINISTRADORA DE VALORES MOBILIÁRIOS LTDA.,UBS
09.490.248/0001-52,UBS CONSENSO INVESTIMENTOS LTDA.,UBS
11.959.069/0001-63,UJAY CAPITAL INVESTIMENTOS LTDA,Ujay
07.213.252/0001-48,U.V. GESTORA DE ATIVOS FINANCEIROS LTDA,UV
11.392.069/0001-24,V8 CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,V8
42.271.429/0001-63,FUNDAÇÃO VALE DO RIO DOCE DE SEGURIDADE SOCIAL - VALIA,Valia
17.482.086/0001-39,VALORA RENDA FIXA LTDA.,Valora
12.678.380/0001-05,VCM GESTÃO DE CAPITAL LTDA,VCM
19.749.539/0001-76,VERDE ASSET MANAGEMENT S.A.,Verde
14.569.262/0001-86,VGR GESTÃO DE RECURSOS LTDA.,VGR
11.077.576/0001-73,VINCI GESTORA DE RECURSOS LTDA,Vinci
