"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"TPNO13","7,6679","IPCA_SPREAD","B35 - 41 bps","IPCA + 4.9335%","2026-08-06","2038-12-15","1681,00","6,67","","","","2035-05-15","B35","8,1074","-41","ok","","ANBIMA Data API (web-bff)"
"TRCC11","8,0267","IPCA_SPREAD","B28 - 41 bps","IPCA + 6.5333%","2026-08-06","2028-09-15","406,00","1,61","","","","2028-08-15","B28","8,4700","-41","ok","","ANBIMA Data API (web-bff)"
"TRES11","1,6722","DI_SPREAD","CDI + 1,67%","DI + 2.1000%","2026-08-06","2029-04-05","541,00","2,15","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TRGO11","8,3190","IPCA_SPREAD","B29 + 10 bps","IPCA + 7.0176%","2026-08-06","2031-12-15","662,00","2,63","","","","2029-05-15","B29","8,2059","10","ok","","ANBIMA Data API (web-bff)"
"TRGP13","7,5654","IPCA_SPREAD","B37 - 30 bps","IPCA + 6.9928%","2026-08-06","2038-01-15","1955,00","7,76","","","","2037-05-15","B37","7,8925","-30","ok","","ANBIMA Data API (web-bff)"
"TRPLA3","1,0059","DI_SPREAD","CDI + 1,01%","DI + 1.5000%","2026-08-06","2030-03-15","687,00","2,73","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TRPLA4","7,8665","IPCA_SPREAD","B33 - 33 bps","IPCA + 6.2607%","2026-08-06","2033-10-15","1357,00","5,38","","","","2033-05-15","B33","8,2266","-33","ok","","ANBIMA Data API (web-bff)"
"TRPLA5","0,5564","DI_SPREAD","CDI + 0,56%","DI + 0.7300%","2026-08-06","2029-03-15","536,00","2,13","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TRPLA6","0,7427","DI_SPREAD","CDI + 0,74%","DI + 0.8000%","2026-08-06","2031-05-20","807,00","3,20","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TRPLA7","7,5886","IPCA_SPREAD","B40 - 21 bps","IPCA + 6.7119%","2026-08-06","2036-10-15","2362,00","9,37","","","","2040-08-15","B40","7,8120","-21","ok","","ANBIMA Data API (web-bff)"
"TRPLB4","7,5885","IPCA_SPREAD","B37 - 28 bps","IPCA + 6.4364%","2026-08-06","2038-10-15","1969,00","7,81","","","","2037-05-15","B37","7,8925","-28","ok","","ANBIMA Data API (web-bff)"
"TRPLB5","0,7512","DI_SPREAD","CDI + 0,75%","DI + 0.8000%","2026-08-06","2031-03-17","763,00","3,03","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TRPLB7","7,6342","IPCA_SPREAD","B37 - 24 bps","IPCA + 6.6052%","2026-08-06","2039-10-15","2068,00","8,21","","","","2037-05-15","B37","7,8925","-24","ok","","ANBIMA Data API (web-bff)"
"TRRG12","7,9573","IPCA_SPREAD","B31 - 24 bps","IPCA + 7.4367%","2026-08-06","2033-01-15","1044,00","4,14","","","","2031-05-15","B31","8,2200","-24","ok","","ANBIMA Data API (web-bff)"
"TSSG13","0,5341","DI_SPREAD","CDI + 0,53%","DI + 0.9800%","2026-08-06","2029-06-20","601,00","2,38","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TSSG14","0,4320","DI_SPREAD","CDI + 0,43%","DI + 0.6700%","2026-08-06","2030-05-20","537,00","2,13","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TSSG21","7,7241","IPCA_SPREAD","B33 - 46 bps","IPCA + 5.9851%","2026-08-06","2033-12-15","1321,00","5,24","","","","2033-05-15","B33","8,2266","-46","ok","","ANBIMA Data API (web-bff)"
"TUPW11","5,7969","DI_SPREAD","CDI + 5,80%","DI + 2.9000%","2026-08-06","2034-10-15","763,00","3,03","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TUPW21","11,4751","IPCA_SPREAD","B32 + 300 bps","IPCA + 8.2194%","2026-08-06","2036-10-15","1186,00","4,71","","","","2032-08-15","B32","8,2267","300","ok","","ANBIMA Data API (web-bff)"
"TUPY15","3,1849","DI_SPREAD","CDI + 3,18%","DI + 0.8700%","2026-08-06","2029-07-17","616,00","2,44","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TUPY25","4,0097","DI_SPREAD","CDI + 4,01%","DI + 1.0000%","2026-08-06","2031-07-17","830,00","3,29","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TUPY35","3,7181","DI_SPREAD","CDI + 3,72%","DI + 1.1800%","2026-08-06","2034-07-17","1089,00","4,32","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"TVVH11","8,4841","IPCA_SPREAD","B30 + 21 bps","IPCA + 6.8596%","2026-08-06","2033-11-15","786,00","3,12","","","","2030-08-15","B30","8,2600","21","ok","","ANBIMA Data API (web-bff)"
"UHSM12","7,6969","IPCA_SPREAD","B35 - 38 bps","IPCA + 5.8198%","2026-08-06","2036-10-15","1673,00","6,64","","","","2035-05-15","B35","8,1074","-38","ok","","ANBIMA Data API (web-bff)"
"ULFT14","8,0521","IPCA_SPREAD","B35 - 5 bps","IPCA + 6.6729%","2026-08-06","2035-10-15","1562,00","6,20","","","","2035-05-15","B35","8,1074","-5","ok","","ANBIMA Data API (web-bff)"
