CD_ATIVO,GESTOR,VL_ALOCADO
"NTSD17","Kinea",39185985.51
"CESPA3","Portofino",584787.07
"CGOS34","4UM",455536.18
"CBRDA8","AF Invest",4645831.37
"CSMGB4","Ibuina",2521929.6
"VALEB1","Vinland",86405.65
"CMGD18","BB Asset",140451816.15
"RADL15","BB Asset",139217272.39
"CPXB13","BRAM",74162479.29
"CART13","Portofino",83099.22
"ENMTC3","Rafter",2133515.6
"BCPSA7","Vinland",68959335.59
"EQMAA2","BTG Asset",32061505.6
"CEED13","Inter",4348291.69
"RSAN25","WHG",1001823.85
"VAMO13","Integral",464492.99
"KLBNA2","SAM",80404352.71
"TRRG12","UBS",86980957
"CBAN22","XPG",24455165.63
"ENGIC3","San WM",2818060.31
"RMGL11","IAM",14074000.22
"CTEP13","Regia",15204808.28
"TIET29","Galt",1260119.71
"EDPA11","(fundo nao cadastrado)",293232.72
"ENERC7","Augme",8584864.79
"CEAP17","Inter",3406011.34
"CCROA7","Inter",8571988.61
"RIS412","XPG",43098680.67
"AXIA28","XPG",9886211.99
"ENEVD0","Galt",578542.04
"CSMGD1","BRAM",14992304.25
"CPGTA1","Valora",15695722.7
"MEZP11","ITAU Tsy",218674266.66
"IVIAA0","BDR",6253598.76
"TIET19","AF Invest",3387435.81
"CASN34","(fundo nao cadastrado)",4550087.75
"FENS12","BB Asset",261235837.33
"RISP22","BTG WM",65841678.43
"EDTE12","BR Partners",52770.8
"ENMTE6","Vinci",11967506.1
"CAEC22","Sparta",20927733.91
"VBBR14","M8",4712406.33
"CASN24","BRAM",489407.88
"ENEV15","Lakewood",1865382.27
"JSLGA5","Polo",8675100.95
"CGOS15","Kinea",23567326.52
"CMIN11","Legacy",61595.42
"ANHBB6","BRAM",252191610.94
"ENGIC3","Kinea",35145581.44
"CSMGB8","BRAM",12477324.47
"GASP17","BB Asset",77999736.8
"JHSFA1","Solis",2765759.56
"HYPEA5","XPG",10590520.14
"WDPR11","BTG WM",4433197.62
"MSGT12","ARX",13311182.76
"CEEBB8","Nu Asset",3390180.99
"ISPE12","Investcoop",4197784.94
"CGOS13","G5",290093.74
"RAIZ23","Porto Asset",325157.51
"VRDN12","Paramis",1443488.84
"TCBC17","IAM",335079.82
"CTEE29","Portofino",12587.46
"EGIEA1","Kinea",4326090.9
"RIPR13","(fundo nao cadastrado)",172514508.39
"BCPSA6","Rafter",7022989.19
"CPLDB0","Plural",9137086.56
"TIET29","Absolute",10270470.59
"MRSAB1","Safra Asset",23501772.34
"TUPY15","(fundo nao cadastrado)",29241594.18
"PFOR25","Absolute",33184086.12
"CEEBC4","Trígono",1430187.12
"VALEA0","IAM",7703945.25
"CSED12","IAM",184244901.72
"CMGDA1","Valora",12730529.06
"SBSPD3","CEF Asset",88643990.48
"ENERB4","BTG Asset",14871642.91
"RMSA12","Ace",1034669.44
"GASP17","XPG",848367.64
"ISAEB0","UBS",30287136.32
"AEGPB5","SAM",18317179.69
"ASAIA2","BB Asset",15259929.58
"CMED15","(fundo nao cadastrado)",166260680.63
"TBCR18","San WM",746473.38
"EXTZ11","Ibuina",4000.71
"STBP35","G5",326370.48
"SAPRC1","ASA",2806267.5
"CBOH11","EQI",438887.39
"AEGE17","RB Asset",32368803.51
"PRAS11","BTG WM",30536815.48
"TUPY15","Daycoval",2949724.31
"RPTA14","Capitânia",51654760.13
"SVEA16","Capitânia",50721831.24
"OVSAA8","Galapagos",4181269.94
"RECV21","XPG",1087780.95
"VALEA0","BRAM",10819154.63
"EQMAA2","Brainvest",356478.28
"FLCLA4","IAM",41811771.94
"MULTA4","(fundo nao cadastrado)",274645622.02
"PEJA23","BTG WM",44564564.67
"NTSD36","XPG",7628646.65
"DASAC5","Vinci",32263920.51
"FRAG16","Legacy",48319980.79
"VDBF12","RB Asset",535918.31
"BRKMB8","Asset 1",294512.25
"HGLB23","UBS",83788581.25
"PLSB1A","BR Partners",5024796.98
"KLBNA2","BTG Asset",10027231.32
"SMFT19","Plural",20617293.17
"CIEL18","Wise",29247.65
"QYAN11","Asset 1",2103562.63
"CLCD26","G5",10290071.95
"JSMLA5","Daycoval",888259.73
"ETBA12","Persevera",746926.42
"SNGO19","Nu Asset",385194.82
"EGIEB2","Root",5667807.09
"TVVH11","BTG Asset",14756373.1
"QYAN11","BRAM",280238948.42
"ARTRA1","Tivio",18878394.4
"NIGP12","IAM",358179016.21
"SUZBC1","BTG WM",1094228.14
"ELPLB4","UBS",197957.8
"ENEV26","Sparta",1265163.66
"VERO25","UBS",228800.23
"KLAS12","Riza",196083
"TRRG12","Sparta",6078992.37
"MGSP12","Sparta",22576667.72
"SBSPE7","IAM",170502955.24
"APFD19","BB Asset",27532427.97
"CMGDB2","Sulamérica",63728510.38
"IOCHA4","Porto Asset",38376084.25
"POTE11","AZ Quest",2238630.03
"IOCHA3","Vinci",950667.24
"ELET42","BB Asset",15640564.4
"EBENA8","Oriz",8707215.65
"VVEO16","(fundo nao cadastrado)",15656284.44
"TJMM11","Kinea",349850002.71
"ASAIA0","Vinci",9801752.81
"CESE32","Kinea",5304715.44
"TVVH11","(fundo nao cadastrado)",3373836.47
"EQSP11","Riza",616401.39
"PEJA22","Novus",2510647.7
"LORTA7","Investcoop",3744389.28
"EEELA1","Novus",534248.89
"TPER2B","Plural",0
"CERT11","Proteus",20951702.79
"BTEL23","SPX",24460109.19
"ASSR21","XPG",6806833.32
"ENEVB0","BRAM",60817529.48
"CGOSB0","BBM Asset",3143399.52
"AGRU12","Tivio",4489828.88
"LMTP26","Legacy",5331171
"CLII12","Kinea",221288144.26
"CLII12","IAM",7622464.38
"ENERC3","Butiá",28016.48
"EGIE49","MAG",268036.99
"CLTM14","Tenax",6238137.03
"CEEBC3","Absolute",13522.34
"PASN12","ARX",25726112.32
"AEGP19","Regia",1066879.34
"CSMGB6","BRAM",4886841.32
"CEAB14","Brainvest",752677.46
"UTPS21","BTG WM",112550158.11
"CEEBB2","Valora",3584396.26
"VAMO33","Andbank",525997.95
"VEBMA7","Safra Asset",163992918.45
"AHGD13","Drys",336451.56
"MOVI17","Scalare",387940.54
"ARML14","Asset 1",7863028.92
"ALUP18","G5",44798591.68
"ENMTC6","ASA",643617.93
"IRJS15","Ace",522633.05
"ECER12","San WM",23938567.59
"CLCD16","Mirabaud",2047147.13
"KNST31","(fundo nao cadastrado)",39799.13
"CSANA2","Brainvest",823555.25
"MRSAA3","Andbank",2079804.22
"LMTPA1","CEF Asset",50449871.23
"TUPY35","(fundo nao cadastrado)",651395.84
"CEEBB6","SAM",19829072.42
"MGPRA0","Somma",1058923.51
"EQPAA1","XPG",203309244.2
"ENERA9","Principal",3872925.22
"IRJS15","G5",412780.25
"ANHBA6","BB Asset",268792907.28
"SAEL26","(fundo nao cadastrado)",17958729.99
"ISAEA8","Root",3822240.2
"EQUA11","ASA",286180.18
"VALEC0","Daycoval",108562.68
"TCBC19","(fundo nao cadastrado)",19357809.56
"PLAC13","AZ Quest",128345657.12
"RDORC7","AZ Quest",1016593.81
"ESULA6","Galapagos",1459133.36
"AESOA1","Absolute",36557591.53
"COLNA3","Investcoop",4460223.75
"NEOE16","Trígono",33318.67
"ELPLA5","(fundo nao cadastrado)",64372.78
"EGIEA1","BB Asset",31227945.28
"ASAI22","Brave",2661833.11
"GASC18","San WM",18584099.36
"ENGIA9","XPG",3315269.26
"CSMGB6","BTG Asset",1393789.76
"TSSG21","San WM",18196185.35
"CTEE1B","Sparta",1411634.87
"SBSPD3","Nu Asset",513344.9
"VBBR15","Vinland",215179.51
"VIXL15","(fundo nao cadastrado)",1175540.37
"CMIN11","Rubik",26026.23
"CCPV11","BTG WM",812871.75
"ECOV17","IAM",105967653.96
"WNBR12","Augme",1201921.12
"RECV11","Maud",478145.49
"CSANC1","Riza",950568.05
"ELET15","Galt",797160.61
"ARML13","SPX",27351871.74
"CHTH11","Safra Asset",20048799.06
"CCROA7","Atena",5231826.46
"USIM29","Absolute",11871212.55
"RIS414","(fundo nao cadastrado)",11839703.54
"RSAN26","Riza",16977201.59
"AESLA9","Riza",739885.07
"CTEE29","WHG",335665.63
"VAMO23","Investcoop",17094029.36
"CTEE1B","G5",1098892.12
"ERDVC3","FAR",446630.49
"MEZ511","BTG Asset",18636124.09
"SBSPD7","EQI",8716017.92
"CASN24","BRZ",8766292.2
"CGOSB0","BRAM",19896671.16
"TAEED2","Vinland",170861.83
"SUZB19","TAG",106561.42
"CSED12","BB Asset",91786931.67
"MULTA5","ASA",1038208.63
"RIS424","Ace",78351.85
"ARTRA5","Tenax",345922.5
"HAPV15","Occam",1414215.42
"CEEBB2","(fundo nao cadastrado)",27937206.14
"IPIA17","IAM",292730497.44
