"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"ARML25","2,9673","DI_SPREAD","CDI + 2,97%","DI + 1.6000%","2026-07-17","2034-09-25","1066,00","4,23","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ARML26","3,1231","DI_SPREAD","CDI + 3,12%","DI + 1.5500%","2026-07-17","2030-11-05","794,00","3,15","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ARTR19","10,9101","IPCA_SPREAD","B27 + 254 bps","IPCA + 4.8392%","2026-07-17","2027-09-15","158,00","0,63","","","","2027-05-15","B27","8,1600","254","ok","","ANBIMA Data API (web-bff)"
"ARTRA1","1,5804","DI_SPREAD","CDI + 1,58%","DI + 1.6500%","2026-07-17","2027-03-11","152,00","0,60","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ARTRA4","2,1000","DI_SPREAD","CDI + 2,10%","DI + 2.7000%","2026-07-17","2028-08-24","238,00","0,94","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ARTRA5","2,2500","DI_SPREAD","CDI + 2,25%","DI + 2.4000%","2026-07-17","2029-04-12","370,00","1,47","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ARTRA7","10,1910","IPCA_SPREAD","B33 + 186 bps","IPCA + 7.7000%","2026-07-17","2035-05-15","1454,00","5,77","","","","2033-05-15","B33","8,1800","186","ok","","ANBIMA Data API (web-bff)"
"ARTRA8","10,0488","IPCA_SPREAD","B31 + 165 bps","IPCA + 8.2857%","2026-07-17","2032-10-15","1141,00","4,53","","","","2031-05-15","B31","8,2595","165","ok","","ANBIMA Data API (web-bff)"
"ASAB11","11,8428","IPCA_SPREAD","B30 + 325 bps","IPCA + 6.2500%","2026-07-17","2033-06-15","822,00","3,26","","","","2030-08-15","B30","8,3257","325","ok","","ANBIMA Data API (web-bff)"
"ASAI18","1,3520","DI_SPREAD","CDI + 1,35%","DI + 1.8500%","2026-07-17","2027-12-22","331,00","1,31","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ASAI19","1,7407","DI_SPREAD","CDI + 1,74%","DI + 1.2500%","2026-07-17","2029-03-25","462,00","1,83","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ASAI22","1,6216","DI_SPREAD","CDI + 1,62%","DI + 1.9500%","2026-07-17","2028-05-20","304,00","1,21","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ASAI28","1,7580","DI_SPREAD","CDI + 1,76%","DI + 1.9500%","2026-07-17","2028-12-22","524,00","2,08","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ASAIA0","1,8203","DI_SPREAD","CDI + 1,82%","DI + 1.2500%","2026-07-17","2029-06-20","520,00","2,06","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ASAIA1","1,8696","DI_SPREAD","CDI + 1,87%","DI + 1.2500%","2026-07-17","2029-09-25","549,00","2,18","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ASAIA2","1,8668","DI_SPREAD","CDI + 1,87%","DI + 1.2500%","2026-07-17","2029-12-09","683,00","2,71","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ASAIA3","1,8468","DI_SPREAD","CDI + 1,85%","DI + 1.2000%","2026-07-17","2029-06-05","599,00","2,38","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"ASCP13","8,5242","IPCA_SPREAD","B28 + 2 bps","IPCA + 7.5500%","2026-07-17","2030-03-15","509,00","2,02","","","","2028-08-15","B28","8,5000","2","ok","","ANBIMA Data API (web-bff)"
"ASCP23","8,4478","IPCA_SPREAD","B32 + 19 bps","IPCA + 8.1500%","2026-07-17","2035-03-15","1310,00","5,20","","","","2032-08-15","B32","8,2400","19","ok","","ANBIMA Data API (web-bff)"
"ASER12","11,7444","IPCA_SPREAD","B35 + 340 bps","IPCA + 8.4051%","2026-07-17","2043-12-15","1783,00","7,08","","","","2035-05-15","B35","8,0700","340","ok","","ANBIMA Data API (web-bff)"
"ASSR21","9,1879","IPCA_SPREAD","B35 + 103 bps","IPCA + 7.1071%","2026-07-17","2041-06-15","1619,00","6,42","","","","2035-05-15","B35","8,0700","103","ok","","ANBIMA Data API (web-bff)"
"ATHT11","8,8751","IPCA_SPREAD","B33 + 64 bps","IPCA + 7.3293%","2026-07-17","2041-09-15","1397,00","5,54","","","","2033-05-15","B33","8,1800","64","ok","","ANBIMA Data API (web-bff)"
"ATII12","8,8902","IPCA_SPREAD","B33 + 66 bps","IPCA + 7.3293%","2026-07-17","2041-09-15","1396,00","5,54","","","","2033-05-15","B33","8,1800","66","ok","","ANBIMA Data API (web-bff)"
"AURE12","8,1605","IPCA_SPREAD","B33 - 2 bps","IPCA + 6.2980%","2026-07-17","2034-04-15","1363,00","5,41","","","","2033-05-15","B33","8,1800","-2","ok","","ANBIMA Data API (web-bff)"
"AURE13","0,7902","DI_SPREAD","CDI + 0,79%","DI + 0.5500%","2026-07-17","2031-10-10","792,00","3,14","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AURP12","8,2075","IPCA_SPREAD","B33 + 3 bps","IPCA + 7.4515%","2026-07-17","2035-04-15","1474,00","5,85","","","","2033-05-15","B33","8,1800","3","ok","","ANBIMA Data API (web-bff)"
"AURP13","8,1129","IPCA_SPREAD","B35 + 4 bps","IPCA + 6.9164%","2026-07-17","2037-07-15","1823,00","7,23","","","","2035-05-15","B35","8,0700","4","ok","","ANBIMA Data API (web-bff)"
"AXIA18","7,8249","IPCA_SPREAD","B32 - 38 bps","IPCA + 6.8000%","2026-07-17","2033-02-15","1318,00","5,23","","","","2032-08-15","B32","8,2400","-38","ok","","ANBIMA Data API (web-bff)"
"AXIA28","7,7752","IPCA_SPREAD","B35 - 27 bps","IPCA + 6.7116%","2026-07-17","2036-02-15","1746,00","6,93","","","","2035-05-15","B35","8,0700","-27","ok","","ANBIMA Data API (web-bff)"
"AXIA38","7,6177","IPCA_SPREAD","B40 - 13 bps","IPCA + 6.6752%","2026-07-17","2041-02-15","2194,00","8,71","","","","2040-08-15","B40","7,7576","-13","ok","","ANBIMA Data API (web-bff)"
"AZZA11","1,4165","DI_SPREAD","CDI + 1,42%","DI + 1.2500%","2026-07-17","2030-03-28","631,00","2,50","","","","","","","","ok","","ANBIMA Data API (web-bff)"
