"ticker","statusExercicio","dataEvento","diasUteisAteEvento","pctPuPar","taxaEvento","tipoTaxa","remuneracao","dataReferencia","origemAba","spreadBE","spreadBEUnid"
"QUAL17","Em exercício","2026-09-15","","1.00744","2.6853","implícita","DI + 3,5%","2026-07-31","No Período de Exercício","2.6853","%"
"QUNT11","Em exercício","2026-11-18","","1.009976","0.6673","implícita","DI + 1%","2026-07-31","No Período de Exercício","0.6673","%"
"QYAN11","Em exercício","2026-11-18","","1.011979","0.6324","implícita","DI + 1%","2026-07-31","No Período de Exercício","0.6324","%"
"RADL15","Em exercício","2027-01-25","","1.006958","0.9806","implícita","DI + 1,49%","2026-07-31","No Período de Exercício","0.9806","%"
"RDORC4","Em exercício","2026-09-15","","1.002976","0.3388","implícita","DI + 0,65%","2026-07-31","No Período de Exercício","0.3388","%"
"RDORC7","Em exercício","2026-12-21","","1.008652","0.1485","implícita","DI + 0,79%","2026-07-31","No Período de Exercício","0.1485","%"
"RNDNA0","Em exercício","2026-11-09","","1.003968","1.0811","implícita","DI + 1,5%","2026-07-31","No Período de Exercício","1.0811","%"
"RNDNB0","Em exercício","2026-11-09","","1.01192","1.1302","implícita","DI + 1,69%","2026-07-31","No Período de Exercício","1.1302","%"
"RODB11","Em exercício","2026-11-10","","1.025952","3.128","implícita","DI + 4,25%","2026-07-31","No Período de Exercício","3.128","%"
"RSAN15","Em exercício","","","","","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","",""
"RSAN25","Em exercício","2026-12-07","","1.00693","2.4986","implícita","DI + 2,9%","2026-07-31","No Período de Exercício","2.4986","%"
"SAPRB1","Em exercício","","","","","implícita","DI + 0,88%","2026-07-31","No Período de Exercício","",""
"SAPRC1","Em exercício","2026-10-15","","1.004467","1.5733","implícita","DI + 1,9%","2026-07-31","No Período de Exercício","1.5733","%"
"SIMH16","Em exercício","2026-12-21","","1.014861","2.5816","implícita","DI + 3,2%","2026-07-31","No Período de Exercício","2.5816","%"
"SLFT13","Em exercício","2026-09-21","","1.009686","1.8342","implícita","DI + 2,5%","2026-07-31","No Período de Exercício","1.8342","%"
"SMFTA0","Em exercício","2027-01-18","","1.006211","0.7489","implícita","DI + 1,1%","2026-07-31","No Período de Exercício","0.7489","%"
"TAEEA5","Em exercício","2026-09-15","","1.007416","0.2879","implícita","DI + 0,63%","2026-07-31","No Período de Exercício","0.2879","%"
"TEPA14","Em exercício","2026-09-04","","1.042103","1.4325","implícita","DI + 3,35%","2026-07-31","No Período de Exercício","1.4325","%"
"TIET19","Em exercício","2026-09-15","","1.001452","0.6976","implícita","DI + 1%","2026-07-31","No Período de Exercício","0.6976","%"
"TIGR21","Em exercício","2026-11-10","","1.006984","1.1864","implícita","DI + 1,7%","2026-07-31","No Período de Exercício","1.1864","%"
"TLPP27","Em exercício","2027-01-12","","1.00172","0.9965","implícita","DI + 1,35%","2026-07-31","No Período de Exercício","0.9965","%"
"TOTS15","Em exercício","2027-01-19","","0.999999","0.95","implícita","DI + 0,95%","2026-07-31","No Período de Exercício","0.95","%"
"TRPLA3","Em exercício","2026-09-15","","1.012163","1.0652","implícita","DI + 1,5%","2026-07-31","No Período de Exercício","1.0652","%"
"TUPY15","Em exercício","2027-01-18","","1.008689","0.4682","implícita","DI + 0,87%","2026-07-31","No Período de Exercício","0.4682","%"
"VAMO13","Em exercício","2026-12-15","","1.013619","1.2731","implícita","DI + 2,3%","2026-07-31","No Período de Exercício","1.2731","%"
"VAMO22","Em exercício","","","","","implícita","DI + 2%","2026-07-31","No Período de Exercício","",""
"VLIDA0","Em exercício","2026-10-26","","1.01238","0.9328","implícita","DI + 1,95%","2026-07-31","No Período de Exercício","0.9328","%"
"YDUQ18","Em exercício","2026-09-23","","1.012823","0.4164","implícita","DI + 0,85%","2026-07-31","No Período de Exercício","0.4164","%"
"YDUQA0","Em exercício","2026-10-13","","1.008647","0.7584","implícita","DI + 1,25%","2026-07-31","No Período de Exercício","0.7584","%"
"AEAB11","Em exercício","2026-12-15","","1.000005","7.0715","implícita","IPCA + 7,0718%","2026-07-31","No Período de Exercício","-88","bps"
"ALGAB1","Em exercício","2027-01-15","","0.999995","4.9999","implícita","IPCA + 4,9999%","2026-07-31","No Período de Exercício","-330","bps"
"ALGAC2","Em exercício","2027-01-15","","0.999995","5.8806","implícita","IPCA + 5,8806%","2026-07-31","No Período de Exercício","-237","bps"
"ALIG13","Em exercício","2026-08-17","","0.999987","4","implícita","IPCA + 4%","2026-07-31","No Período de Exercício","-430","bps"
"ALIG15","Em exercício","2026-10-15","","1.000004","6.1301","implícita","IPCA + 6,1305%","2026-07-31","No Período de Exercício","-211","bps"
"ALUP18","Em exercício","2026-10-15","","0.999993","6.4986","implícita","IPCA + 6,4986%","2026-07-31","No Período de Exercício","-172","bps"
"ASAB11","Em exercício","2026-12-15","","0.99999","6.25","implícita","IPCA + 6,25%","2026-07-31","No Período de Exercício","-205","bps"
"BRKP28","Em exercício","2026-09-15","","0.999991","5.5365","implícita","IPCA + 5,5365%","2026-07-31","No Período de Exercício","-270","bps"
"BRST11","Em exercício","2026-09-15","","0.999995","5.7694","implícita","IPCA + 5,7694%","2026-07-31","No Período de Exercício","-229","bps"
"BTEL33","Em exercício","2026-10-15","","1.012167","8.2199","implícita","IPCA + 8,45%","2026-07-31","No Período de Exercício","0","bps"
"CART13","Em exercício","2026-12-15","","0.999989","6.8138","implícita","IPCA + 6,8138%","2026-07-31","No Período de Exercício","-143","bps"
"CCLS11","Em exercício","2027-01-15","","0.999997","6.6739","implícita","IPCA + 6,6739%","2026-07-31","No Período de Exercício","-157","bps"
"CCROA5","Em exercício","2026-11-16","","0.999989","4.8791","implícita","IPCA + 4,8791%","2026-07-31","No Período de Exercício","-336","bps"
"CCROB4","Em exercício","2026-12-15","","0.999996","4.25","implícita","IPCA + 4,25%","2026-07-31","No Período de Exercício","-381","bps"
"CCROB6","Em exercício","2027-01-15","","0.99999","6.437","implícita","IPCA + 6,437%","2026-07-31","No Período de Exercício","-178","bps"
"CEAP12","Em exercício","2027-01-15","","0.999997","6.5","implícita","IPCA + 6,5%","2026-07-31","No Período de Exercício","-180","bps"
"CEEBC4","Em exercício","2026-10-15","","0.999993","6.2792","implícita","IPCA + 6,2792%","2026-07-31","No Período de Exercício","-197","bps"
"CEPEC2","Em exercício","2026-10-15","","0.999993","6.2792","implícita","IPCA + 6,2792%","2026-07-31","No Período de Exercício","-197","bps"
"CLAG13","Em exercício","2027-01-15","","0.999998","5.4806","implícita","IPCA + 5,4806%","2026-07-31","No Período de Exercício","-300","bps"
"CMGD28","Em exercício","2026-12-15","","0.999998","6.1052","implícita","IPCA + 6,1052%","2026-07-31","No Período de Exercício","-238","bps"
"CMIN11","Em exercício","2027-01-15","","0.999997","4.879","implícita","IPCA + 4,879%","2026-07-31","No Período de Exercício","-337","bps"
"COCE18","Em exercício","2026-11-16","","0.999995","6.2137","implícita","IPCA + 6,2137%","2026-07-31","No Período de Exercício","-203","bps"
"CPFGA2","Em exercício","2026-11-16","","0.999995","6.0265","implícita","IPCA + 6,0265%","2026-07-31","No Período de Exercício","-227","bps"
"CPFPA2","Em exercício","2026-11-16","","0.999994","4.3","implícita","IPCA + 4,3%","2026-07-31","No Período de Exercício","-400","bps"
