CD_ATIVO,GESTOR,VL_ALOCADO
"ISAEB0","UBS",29394275.78
"AEGPB5","SAM",18343391.53
"ASAIA2","BB Asset",14988813.3
"CMED15","(fundo nao cadastrado)",168173876.63
"EXTZ11","Ibuina",3492.28
"STBP35","G5",322123.55
"DASAC5","(fundo nao cadastrado)",15710604.27
"CLCD19","Sparta",18903246.67
"CSRNA1","SVN",4515.11
"CBOH11","EQI",432872.43
"AEGE17","RB Asset",30978451.58
"PRAS11","BTG WM",30765569.29
"CHSF13","Vinland",30378.46
"RPTA14","Capitânia",50838557.23
"SVEA16","Capitânia",23607190.27
"SBSPK8","IAM",187759431.15
"RECV21","XPG",2586349.33
"VALEA0","BRAM",12212063.78
"EQMAA2","Brainvest",338366.87
"FLCLA4","IAM",42329313.84
"CGOS19","Polo",2552795.43
"PEJA23","BTG WM",44103942.52
"NTSD36","XPG",194953.08
"DASAC5","Vinci",57182721.43
"FRAG16","Legacy",46198291.49
"VDBF12","RB Asset",539950.17
"BRKMB8","Asset 1",326491.24
"APFD19","Ibuina",1989949.79
"HGLB23","UBS",83128737.15
"PLSB1A","BR Partners",5013094.39
"KLBNA2","BTG Asset",9410153.26
"SMFT19","Plural",20865489.79
"CIEL18","Wise",29588.91
"QYAN11","Asset 1",6183315.87
"CLCD26","G5",10341366.21
"JSMLA5","Daycoval",902312.64
"SNGO19","Nu Asset",321487.47
"EGIEB2","Root",5589230.68
"TVVH11","BTG Asset",14875478.88
"QYAN11","BRAM",184314623.76
"SBSPC3","Investcoop",4300736.42
"SBSPM8","Augme",10073217.07
"SUZBC1","BTG WM",1074208.37
"ENEV26","Sparta",1195860.57
"VERO25","UBS",227149.43
"KLAS12","Riza",198788.41
"TRRG12","Sparta",6021444.5
"MGSP12","Sparta",22563018.56
"SBSPE7","IAM",172093893.03
"APFD19","BB Asset",23332628.69
"CMGDB2","Sulamérica",59628337.61
"IOCHA4","Porto Asset",38629979.64
"ABSP12","(fundo nao cadastrado)",453069.12
"IOCHA3","Vinci",958839.82
"ELET42","BB Asset",15729372.76
"EBENA8","Oriz",9607654.51
"VVEO16","(fundo nao cadastrado)",16881961.11
"TJMM11","Kinea",327530651.21
"ASAIA0","Vinci",9640172.99
"CESE32","Kinea",5088677.72
"CESE32","G5",434233.83
"EQSP11","Riza",616814.5
"PEJA22","Novus",2475030.6
"LORTA7","Investcoop",3656721.75
"EEELA1","Novus",526338.36
"TPER2B","Plural",0
"CERT11","Proteus",20980345.14
"BTEL23","SPX",24207137.74
"ASSR21","XPG",6693121.71
"ENEVB0","BRAM",66530125.84
"CGOSB0","BBM Asset",3065881.1
"AGRU12","Tivio",4674224.09
"CPLD29","Legacy",10202626.7
"CLII12","Kinea",224622271.64
"CLII12","IAM",7715956.03
"ENERC3","Butiá",26288.76
"EGIE49","MAG",270049.47
"CLTM14","Tenax",6154044.39
"CEEBC3","Absolute",13458.98
"PASN12","ARX",25969147.47
"AEGP19","Regia",1076410.09
"CSMGB6","BRAM",3182602.93
"CEAB14","Brainvest",715692.94
